dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.999935,20.650000,0.000070,0.007025,0.351239,17.561948,3.141593
0.020000,10.999654,20.650000,0.000351,0.014050,0.351239,-0.000000,3.141593
0.020000,10.999022,20.650000,0.000983,0.031612,0.878097,26.342922,3.141593
0.020000,10.997898,20.650000,0.002107,0.056198,1.229336,17.561948,3.141593
0.020000,10.996141,20.650000,0.003864,0.087810,1.580575,17.561948,3.141593
0.020000,10.993612,20.650000,0.006393,0.126446,1.931814,17.561948,3.141593
0.020000,10.990170,20.650000,0.009835,0.172107,2.283053,17.561948,3.141593
0.020000,10.985674,20.650000,0.014331,0.224793,2.634292,17.561948,3.141593
0.020000,10.979984,20.650000,0.020021,0.284504,2.985531,17.561948,3.141593
0.020000,10.972960,20.650000,0.027045,0.351239,3.336770,17.561948,3.141593
0.020000,10.964460,20.650000,0.035545,0.424999,3.688009,17.561948,3.141593
0.020000,10.954344,20.650000,0.045661,0.505784,4.039248,17.561948,3.141593
0.020000,10.942472,20.650000,0.057533,0.593594,4.390487,17.561948,3.141593
0.020000,10.928703,20.650000,0.071302,0.688428,4.741726,17.561948,3.141593
0.020000,10.912898,20.650000,0.087107,0.790288,5.092965,17.561948,3.141593
0.020000,10.894914,20.650000,0.105091,0.899172,5.444204,17.561948,3.141593
0.020000,10.874613,20.650000,0.125392,1.015081,5.795443,17.561948,3.141593
0.020000,10.851852,20.650000,0.148153,1.138014,6.146682,17.561948,3.141593
0.020000,10.826493,20.650000,0.173512,1.267973,6.497921,17.561948,3.141593
0.020000,10.798394,20.650000,0.201611,1.404956,6.849160,17.561948,3.141593
0.020000,10.767415,20.650000,0.232590,1.548964,7.200399,17.561948,3.141593
0.020000,10.733415,20.650000,0.266590,1.699997,7.551638,17.561948,3.141593
0.020000,10.696254,20.650000,0.303751,1.858054,7.902877,17.561948,3.141593
0.020000,10.655791,20.650000,0.344214,2.023136,8.254116,17.561948,3.141593
0.020000,10.611886,20.650000,0.388119,2.195244,8.605355,17.561948,3.141593
0.020000,10.564398,20.650000,0.435607,2.374375,8.956594,17.561948,3.141593
0.020000,10.513258,20.650000,0.486747,2.557020,9.132213,8.780974,3.141593
0.020000,10.446562,20.649721,0.553444,3.334835,38.890753,1487.926977,3.152048
0.020000,10.370687,20.648355,0.629331,3.794358,22.976146,-795.730321,3.167215
0.020000,10.289482,20.645600,0.710583,4.062602,13.412205,-478.197056,3.183871
0.020000,10.202848,20.641146,0.797331,4.337418,13.740803,16.429903,3.202129
0.020000,10.110690,20.634640,0.889718,4.619364,14.097291,17.824398,3.222115
0.020000,10.012921,20.625679,0.987897,4.908952,14.479414,19.106166,3.243962
0.020000,9.909467,20.613809,1.092030,5.206604,14.882612,20.159895,3.267809
0.020000,9.800281,20.598517,1.202281,5.512586,15.299101,20.824430,3.293801
0.020000,9.685350,20.579228,1.318820,5.826921,15.716744,20.882145,3.322085
0.020000,9.564714,20.555304,1.441805,6.149277,16.117782,20.051899,3.352799
0.020000,9.438484,20.526046,1.571382,6.478827,16.477513,17.986539,3.386068
0.020000,9.306866,20.490699,1.707664,6.814091,16.763222,14.285489,3.421994
0.020000,9.170185,20.448472,1.850719,7.152768,16.933829,8.530356,3.460634
0.020000,9.028913,20.398554,2.000551,7.491584,16.940819,0.349499,3.501992
0.020000,8.883787,20.340197,2.156971,7.821003,16.470927,-23.494618,3.545965
0.020000,8.735815,20.272780,2.319577,8.130310,15.465348,-50.278953,3.592326
0.020000,8.586171,20.195838,2.487842,8.413277,14.148352,-65.849775,3.640739
0.020000,8.436161,20.109118,2.661115,8.663621,12.517189,-81.558196,3.690758
0.020000,8.287167,20.012620,2.838629,8.875696,10.603786,-95.670143,3.741840
0.020000,8.140573,19.906616,3.019534,9.045245,8.477452,-106.316689,3.793367
0.020000,7.997681,19.791648,3.202934,9.170031,6.239273,-111.908938,3.844682
0.020000,7.859628,19.668490,3.387938,9.250193,4.008113,-111.557996,3.895130
0.020000,7.727328,19.538087,3.573703,9.288223,1.901498,-105.330771,3.944101
