dt,x,y,position,velocity,acceleration,jerk,heading
0.02,10.999996,17.85,-0.000068,-0.00679,-0.339511,-16.975565,3.141597
0.02,10.999877,17.85,-0.000187,-0.005933,0.042869,19.118991,3.14173
0.02,10.999611,17.85,-0.000454,-0.013349,-0.37081,-20.683944,3.142029
0.02,10.999136,17.85,-0.000928,-0.023732,-0.519155,-7.417231,3.142561
0.02,10.998394,17.849999,-0.00167,-0.037083,-0.667534,-7.418953,3.143392
0.02,10.997326,17.849996,-0.002738,-0.053402,-0.815979,-7.42224,3.144589
0.02,10.995872,17.84999,-0.004192,-0.072693,-0.964541,-7.428091,3.146218
0.02,10.993973,17.84998,-0.006091,-0.094959,-1.113305,-7.438238,3.148346
0.02,10.991569,17.84996,-0.008495,-0.120208,-1.26241,-7.455224,3.151038
0.02,10.9886,17.849927,-0.011464,-0.148449,-1.412069,-7.482963,3.154361
0.02,10.985007,17.849874,-0.015058,-0.179701,-1.562606,-7.52686,3.15838
0.02,10.980728,17.849792,-0.019338,-0.213991,-1.714496,-7.594463,3.163161
0.02,10.975702,17.84967,-0.024365,-0.251359,-1.868411,-7.695785,3.168768
0.02,10.969867,17.849492,-0.030202,-0.291865,-2.025288,-7.84381,3.175265
0.02,10.96316,17.849241,-0.036914,-0.335593,-2.186389,-8.055061,3.182714
0.02,10.955515,17.848894,-0.044567,-0.38266,-2.353387,-8.349913,3.191175
0.02,10.946863,17.848423,-0.053232,-0.433229,-2.528448,-8.753065,3.200704
0.02,10.937133,17.847795,-0.062982,-0.487516,-2.71432,-9.293579,3.211356
0.02,10.926278,17.846972,-0.073868,-0.544288,-2.838614,-6.214724,3.223147
0.02,10.914278,17.845913,-0.085915,-0.602346,-2.902918,-3.21519,3.236053
0.02,10.901105,17.844572,-0.099156,-0.66204,-2.98468,-4.088102,3.250047
0.02,10.886727,17.842897,-0.113631,-0.723771,-3.086527,-5.092356,3.265093
0.02,10.871104,17.840829,-0.129391,-0.78799,-3.210983,-6.222775,3.281147
0.02,10.854187,17.838306,-0.146495,-0.855197,-3.36033,-7.467369,3.298159
