dt,x,y,position,velocity,acceleration,jerk,heading
0.02,10.999986,20.15,-0.000068,-0.00679,-0.339511,-16.975565,3.141597
0.02,10.999562,20.15,-0.000492,-0.021228,-0.721891,-19.118995,3.14173
0.02,10.998606,20.15,-0.001448,-0.047763,-1.326746,-30.242735,3.142029
0.02,10.996908,20.149999,-0.003146,-0.084911,-1.857424,-26.533922,3.142561
0.02,10.994255,20.149995,-0.005799,-0.132673,-2.388067,-26.532139,3.143392
0.02,10.990434,20.149986,-0.00962,-0.191046,-2.918645,-26.528897,3.144589
0.02,10.985233,20.149966,-0.014821,-0.260028,-3.449105,-26.522982,3.146218
0.02,10.978441,20.149927,-0.021613,-0.339615,-3.979362,-26.512874,3.148346
0.02,10.969845,20.149858,-0.030209,-0.429801,-4.509277,-26.495763,3.151038
0.02,10.959235,20.14974,-0.040821,-0.530573,-5.038638,-26.468043,3.154361
0.02,10.946398,20.14955,-0.053659,-0.641916,-5.567119,-26.424021,3.15838
0.02,10.931124,20.149257,-0.068935,-0.763801,-6.094245,-26.356314,3.163161
0.02,10.913206,20.14882,-0.086859,-0.896187,-6.619343,-26.254885,3.168768
0.02,10.892435,20.148188,-0.107639,-1.039017,-7.141475,-26.106629,3.175265
0.02,10.868608,20.147297,-0.131483,-1.192205,-7.659379,-25.895193,3.182714
0.02,10.841523,20.146067,-0.158596,-1.355632,-8.17138,-25.600052,3.191175
0.02,10.810986,20.144406,-0.189179,-1.529138,-8.675313,-25.196628,3.200704
0.02,10.776806,20.142201,-0.223429,-1.712507,-9.168426,-24.655679,3.211356
0.02,10.738912,20.139328,-0.261432,-1.900179,-9.383604,-10.758898,3.223147
0.02,10.697342,20.13566,-0.303164,-2.086564,-9.319263,3.217058,3.236053
0.02,10.652149,20.131059,-0.34859,-2.271314,-9.237463,4.090015,3.250047
0.02,10.603398,20.125379,-0.39767,-2.454025,-9.135577,5.094284,3.265093
0.02,10.551169,20.118469,-0.450355,-2.634247,-9.011085,6.224622,3.281147
0.02,10.495554,20.110173,-0.506585,-2.811481,-8.861703,7.46907,3.298159
0.02,10.436667,20.100335,-0.566289,-2.985192,-8.685542,8.808044,3.316066
0.02,10.374634,20.0888,-0.629385,-3.154817,-8.481261,10.214086,3.334797
0.02,10.309601,20.075416,-0.695781,-3.319781,-8.248222,11.651937,3.354272
