dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.230063,13.900000,0.000069,0.006864,0.343215,17.160738,0.000000
0.020000,3.230338,13.900000,0.000343,0.013729,0.343215,-0.000000,0.000000
0.020000,3.230956,13.900000,0.000961,0.030889,0.858037,25.741106,0.000000
0.020000,3.232054,13.900000,0.002059,0.054914,1.201252,17.160738,0.000000
0.020000,3.233770,13.900000,0.003775,0.085804,1.544466,17.160738,0.000000
0.020000,3.236241,13.900000,0.006247,0.123557,1.887681,17.160738,0.000000
0.020000,3.239605,13.900000,0.009610,0.168175,2.230896,17.160738,0.000000
0.020000,3.243998,13.900000,0.014003,0.219657,2.574111,17.160738,0.000000
0.020000,3.249558,13.900000,0.019563,0.278004,2.917325,17.160738,0.000000
0.020000,3.256422,13.900000,0.026428,0.343215,3.260540,17.160738,0.000000
0.020000,3.264728,13.900000,0.034733,0.415290,3.603755,17.160738,0.000000
0.020000,3.274613,13.900000,0.044618,0.494229,3.946970,17.160738,0.000000
0.020000,3.286213,13.900000,0.056219,0.580033,4.290184,17.160738,0.000000
0.020000,3.299667,13.900000,0.069673,0.672701,4.633399,17.160738,0.000000
0.020000,3.315112,13.900000,0.085117,0.772233,4.976614,17.160738,0.000000
0.020000,3.332685,13.900000,0.102690,0.878630,5.319829,17.160738,0.000000
0.020000,3.352522,13.900000,0.122528,0.991891,5.663043,17.160738,0.000000
0.020000,3.374763,13.900000,0.144768,1.112016,6.006258,17.160738,0.000000
0.020000,3.399543,13.900000,0.169548,1.239005,6.349473,17.160738,0.000000
0.020000,3.427000,13.900000,0.197005,1.372859,6.692688,17.160738,0.000000
0.020000,3.457272,13.900000,0.227277,1.513577,7.035902,17.160738,0.000000
0.020000,3.490495,13.900000,0.260500,1.661159,7.379117,17.160738,0.000000
0.020000,3.526807,13.900000,0.296812,1.815606,7.722332,17.160738,0.000000
0.020000,3.566345,13.900000,0.336350,1.976917,8.065547,17.160738,0.000000
0.020000,3.609247,13.900000,0.379252,2.145092,8.408761,17.160738,0.000000
0.020000,3.655650,13.900000,0.425655,2.320132,8.751976,17.160738,0.000000
0.020000,3.705690,13.900000,0.475696,2.502036,9.095191,17.160738,0.000000
0.020000,3.756785,13.900008,0.526791,2.554748,2.635613,-322.978895,0.002257
0.020000,3.798233,13.900392,0.568240,2.072488,-24.112999,-1337.430589,0.016413
0.020000,3.841938,13.901449,0.611958,2.185878,5.669490,1489.124460,0.032058
0.020000,3.887746,13.903310,0.657804,2.292307,5.321463,-17.401365,0.049314
0.020000,3.935485,13.906117,0.705625,2.391043,4.936804,-19.232941,0.068315
0.020000,3.984959,13.910017,0.755252,2.481354,4.515543,-21.063073,0.089207
0.020000,4.035951,13.915162,0.806503,2.562546,4.059631,-22.795590,0.112149
0.020000,4.088223,13.921708,0.859183,2.634025,3.573915,-24.285823,0.137310
0.020000,4.141517,13.929813,0.913091,2.695374,3.067470,-25.322203,0.164865
0.020000,4.195562,13.939634,0.968020,2.746479,2.555247,-25.611172,0.194993
0.020000,4.250076,13.951323,1.023774,2.787680,2.060031,-24.760802,0.227866
0.020000,4.304784,13.965033,1.080173,2.819970,1.614509,-22.276121,0.263639
0.020000,4.359428,13.980912,1.137078,2.845230,1.263004,-17.575218,0.302435
0.020000,4.413790,13.999117,1.194408,2.866473,1.062140,-10.043196,0.344322
0.020000,4.467681,14.019807,1.252133,2.886273,0.990014,-3.606323,0.389267
0.020000,4.520967,14.043156,1.310310,2.908875,1.130108,7.004683,0.437101
0.020000,4.573627,14.069389,1.369143,2.941633,1.637914,25.390331,0.487529
0.020000,4.625752,14.098803,1.428994,2.992549,2.545759,45.392250,0.540114
0.020000,4.677527,14.131787,1.490383,3.069448,3.844991,64.961594,0.594286
0.020000,4.729200,14.168831,1.553962,3.178955,5.475316,81.516254,0.649359
0.020000,4.781032,14.210507,1.620471,3.325451,7.324792,92.473819,0.704570
0.020000,4.833245,14.257440,1.690678,3.510324,9.243670,95.943852,0.759132
0.020000,4.885980,14.310254,1.765312,3.731722,11.069902,91.311634,0.812290
0.020000,4.939275,14.369511,1.845010,3.984897,12.658723,79.441047,0.863374
0.020000,4.993064,14.435663,1.930271,4.263029,13.906623,62.395015,0.911829
0.020000,5.047196,14.509018,2.021436,4.558286,14.762871,42.812375,0.957239
0.020000,5.101468,14.589723,2.118693,4.862834,15.227372,23.225063,0.999323
0.020000,5.155659,14.677776,2.222085,5.169609,15.338743,5.568519,1.037923
0.020000,5.209559,14.773041,2.331541,5.472779,15.158515,-9.011379,1.072982
0.020000,5.262995,14.875276,2.446899,5.767910,14.756532,-20.099142,1.104520
0.020000,5.315843,14.984168,2.567937,6.051915,14.200261,-27.813534,1.132613
0.020000,5.368035,15.099353,2.694395,6.322887,13.548588,-32.583696,1.157366
0.020000,5.419564,15.220442,2.825992,6.579873,12.849312,-34.963764,1.178904
0.020000,5.470477,15.347041,2.962446,6.822656,12.139147,-35.508278,1.197354
0.020000,5.520873,15.478761,3.103477,7.051557,11.445052,-34.704718,1.212839
0.020000,5.570899,15.615226,3.248822,7.267279,10.786119,-32.946649,1.225467
0.020000,5.620749,15.756081,3.398238,7.470789,10.175473,-30.532340,1.235333
0.020000,5.670650,15.900994,3.551503,7.663228,9.621954,-27.675945,1.242508
0.020000,5.720873,16.049657,3.708420,7.845857,9.131483,-24.523520,1.247045
0.020000,5.771721,16.201784,3.868820,8.020019,8.708088,-21.169744,1.248971
0.020000,5.823531,16.357114,4.032562,8.187112,8.354626,-17.673109,1.248290
0.020000,5.876667,16.515362,4.199493,8.346526,7.970691,-19.196746,1.244980
0.020000,5.931501,16.676190,4.369412,8.495973,7.472364,-24.916360,1.239002
0.020000,5.988455,16.839306,4.542185,8.638640,7.133351,-16.950635,1.230295
0.020000,6.048011,17.004486,4.717774,8.779446,7.040312,-4.651980,1.218770
0.020000,6.110692,17.171507,4.896170,8.919775,7.016466,-1.192279,1.204318
0.020000,6.177066,17.340132,5.077388,9.060904,7.056428,1.998103,1.186805
0.020000,6.247749,17.510099,5.261466,9.203918,7.150712,4.714197,1.166078
0.020000,6.323402,17.681104,5.448458,9.349593,7.283743,6.651561,1.141971
0.020000,6.404725,17.852781,5.638422,9.498220,7.431345,7.380080,1.114314
0.020000,6.492452,18.024677,5.831410,9.649377,7.557857,6.325593,1.082942
0.020000,6.587326,18.196222,6.027443,9.801643,7.613301,2.772190,1.047718
0.020000,6.690069,18.366701,6.226488,9.952273,7.531488,-4.090642,1.008548
0.020000,6.801332,18.535222,6.428426,10.096883,7.230526,-15.048098,0.965420
0.020000,6.921631,18.700700,6.633011,10.229238,6.617733,-30.639625,0.918425
0.020000,7.051269,18.861855,6.839836,10.341257,5.600958,-50.838752,0.867799
0.020000,7.190244,19.017241,7.048304,10.423400,4.107126,-74.691626,0.813942
0.020000,7.338179,19.165315,7.257614,10.465517,2.105857,-100.063423,0.757430
0.020000,7.494271,19.304544,7.466777,10.458153,-0.368192,-123.702471,0.699006
0.020000,7.657295,19.433532,7.674659,10.394072,-3.204042,-141.792509,0.639537
0.020000,7.825669,19.551159,7.880051,10.269612,-6.223002,-150.947978,0.579955
0.020000,7.997570,19.656687,8.081759,10.085430,-9.209089,-149.304357,0.521181
0.020000,8.171087,19.749813,8.278687,9.846376,-11.952732,-137.182174,0.464050
0.020000,8.344362,19.830665,8.469898,9.560535,-14.292047,-116.965734,0.409257
0.020000,8.515719,19.899743,8.654653,9.237788,-16.137343,-92.264816,0.357324
0.020000,8.683729,19.957825,8.832420,8.888320,-17.473392,-66.802440,0.308598
0.020000,8.847244,20.005875,9.002849,8.521441,-18.343970,-43.528914,0.263260
0.020000,9.005387,20.044942,9.165746,8.144874,-18.828362,-24.219594,0.221361
0.020000,9.157520,20.076095,9.321036,7.764496,-19.018855,-9.524645,0.182847
0.020000,9.303200,20.100369,9.468724,7.384410,-19.004311,0.727196,0.147592
0.020000,9.442189,20.118737,9.608922,7.009871,-18.726950,13.868076,0.115415
0.020000,9.574450,20.132096,9.741855,6.646681,-18.159511,28.371934,0.086094
0.020000,9.700055,20.141238,9.867793,6.296887,-17.489693,33.490907,0.059396
0.020000,9.819123,20.146858,9.986993,5.960009,-16.843893,32.290011,0.035095
0.020000,9.931796,20.149559,10.099698,5.635259,-16.237506,30.319331,0.012980
0.020000,10.030004,20.150000,10.197908,4.910496,-36.238156,-1000.032504,0.000000
0.020000,10.109317,20.150000,10.277221,3.965642,-47.242694,-550.226912,0.000000
0.020000,10.184649,20.150000,10.352553,3.766578,-9.953228,1864.473333,0.000000
0.020000,10.255999,20.150000,10.423903,3.567513,-9.953228,0.000000,0.000000
0.020000,10.323368,20.150000,10.491272,3.368448,-9.953228,0.000000,0.000000
0.020000,10.386756,20.150000,10.554660,3.169384,-9.953228,-0.000000,0.000000
0.020000,10.446162,20.150000,10.614066,2.970319,-9.953228,0.000000,0.000000
0.020000,10.501627,20.150000,10.669531,2.773241,-9.853934,4.964710,0.000000
0.020000,10.553259,20.150000,10.721162,2.581580,-9.583032,13.545079,0.000000
0.020000,10.601194,20.150000,10.769098,2.396784,-9.239817,17.160737,0.000000
0.020000,10.645571,20.150000,10.813475,2.218852,-8.896602,17.160738,0.000000
0.020000,10.686527,20.150000,10.854431,2.047784,-8.553388,17.160738,0.000000
0.020000,10.724199,20.150000,10.892102,1.883580,-8.210173,17.160738,0.000000
0.020000,10.758723,20.150000,10.926627,1.726241,-7.866958,17.160738,0.000000
0.020000,10.790239,20.150000,10.958143,1.575766,-7.523743,17.160738,0.000000
0.020000,10.818882,20.150000,10.986786,1.432156,-7.180529,17.160738,0.000000
0.020000,10.844790,20.150000,11.012694,1.295410,-6.837314,17.160738,0.000000
0.020000,10.868101,20.150000,11.036004,1.165528,-6.494099,17.160738,0.000000
0.020000,10.888951,20.150000,11.056855,1.042510,-6.150884,17.160738,0.000000
0.020000,10.907478,20.150000,11.075382,0.926356,-5.807670,17.160738,0.000000
0.020000,10.923819,20.150000,11.091723,0.817067,-5.464455,17.160738,0.000000
0.020000,10.938112,20.150000,11.106016,0.714643,-5.121240,17.160738,0.000000
0.020000,10.950494,20.150000,11.118398,0.619082,-4.778025,17.160738,0.000000
0.020000,10.961101,20.150000,11.129005,0.530386,-4.434811,17.160738,0.000000
0.020000,10.970073,20.150000,11.137976,0.448554,-4.091596,17.160738,0.000000
0.020000,10.977544,20.150000,11.145448,0.373586,-3.748381,17.160738,0.000000
0.020000,10.983654,20.150000,11.151558,0.305483,-3.405166,17.160738,0.000000
0.020000,10.988539,20.150000,11.156443,0.244244,-3.061952,17.160738,0.000000
0.020000,10.992336,20.150000,11.160240,0.189869,-2.718737,17.160738,0.000000
0.020000,10.995183,20.150000,11.163087,0.142359,-2.375522,17.160738,0.000000
0.020000,10.997218,20.150000,11.165121,0.101713,-2.032307,17.160738,0.000000
0.020000,10.998576,20.150000,11.166480,0.067931,-1.689093,17.160738,0.000000
0.020000,10.999396,20.150000,11.167300,0.041013,-1.345878,17.160738,0.000000
0.020000,10.999816,20.150000,11.167720,0.020960,-1.002663,17.160738,0.000000
0.020000,10.999971,20.150000,11.167875,0.007771,-0.659448,17.160738,0.000000
0.020000,11.000000,20.150000,11.167904,0.001446,-0.316234,17.160738,0.000000
0.020000,11.000000,20.150000,11.167904,0.000000,-0.072313,12.196027,0.000000
