dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.230063,11.600000,0.000069,0.006864,0.343215,17.160738,0.000000
0.020000,3.230338,11.600000,0.000343,0.013729,0.343215,-0.000000,0.000000
0.020000,3.230956,11.600000,0.000961,0.030889,0.858037,25.741106,0.000000
0.020000,3.232054,11.600000,0.002059,0.054914,1.201252,17.160738,0.000000
0.020000,3.233770,11.600000,0.003775,0.085804,1.544466,17.160738,0.000000
0.020000,3.236241,11.600000,0.006247,0.123557,1.887681,17.160738,0.000000
0.020000,3.239605,11.600000,0.009610,0.168175,2.230896,17.160738,0.000000
0.020000,3.243998,11.600000,0.014003,0.219657,2.574111,17.160738,0.000000
0.020000,3.249558,11.600000,0.019563,0.278004,2.917325,17.160738,0.000000
0.020000,3.256422,11.600000,0.026428,0.343215,3.260540,17.160738,0.000000
0.020000,3.264728,11.600000,0.034733,0.415290,3.603755,17.160738,0.000000
0.020000,3.274613,11.600000,0.044618,0.494229,3.946970,17.160738,0.000000
0.020000,3.286213,11.600000,0.056219,0.580033,4.290184,17.160738,0.000000
0.020000,3.299667,11.600000,0.069673,0.672701,4.633399,17.160738,0.000000
0.020000,3.315112,11.600000,0.085117,0.772233,4.976614,17.160738,0.000000
0.020000,3.332685,11.600000,0.102690,0.878630,5.319829,17.160738,0.000000
0.020000,3.352522,11.600000,0.122528,0.991891,5.663043,17.160738,0.000000
0.020000,3.374763,11.600000,0.144768,1.112016,6.006258,17.160738,0.000000
0.020000,3.399543,11.600000,0.169548,1.239005,6.349473,17.160738,0.000000
0.020000,3.427000,11.600000,0.197005,1.372859,6.692688,17.160738,0.000000
0.020000,3.457272,11.600000,0.227277,1.513577,7.035902,17.160738,0.000000
0.020000,3.490495,11.600000,0.260500,1.661159,7.379117,17.160738,0.000000
0.020000,3.526807,11.600000,0.296812,1.815606,7.722332,17.160738,0.000000
0.020000,3.566345,11.600000,0.336350,1.976917,8.065547,17.160738,0.000000
0.020000,3.609247,11.600000,0.379252,2.145092,8.408761,17.160738,0.000000
0.020000,3.655650,11.600000,0.425655,2.320132,8.751976,17.160738,0.000000
0.020000,3.705690,11.600000,0.475696,2.502036,9.095191,17.160738,0.000000
0.020000,3.761978,11.600014,0.531983,2.814359,15.616165,326.048710,0.002257
