dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.999960,14.950000,-0.00007,-0.007023,-0.351154,-17.557715,3.141593
0.020000,7.999679,14.950000,-0.000351,-0.014046,-0.351154,0,3.141593
0.020000,7.999047,14.950000,-0.000983,-0.031604,-0.877886,-26.336573,3.141593
0.020000,7.997923,14.950000,-0.002107,-0.056185,-1.22904,-17.557715,3.141593
0.020000,7.996167,14.950000,-0.003863,-0.087789,-1.580194,-17.557715,3.141593
0.020000,7.993639,14.950000,-0.006391,-0.126416,-1.931349,-17.557715,3.141593
0.020000,7.990198,14.950000,-0.009832,-0.172066,-2.282503,-17.557715,3.141593
0.020000,7.985703,14.950000,-0.014327,-0.224739,-2.633657,-17.557715,3.141593
0.020000,7.980014,14.950000,-0.020016,-0.284435,-2.984812,-17.557715,3.141593
0.020000,7.972991,14.950000,-0.027039,-0.351154,-3.335966,-17.557715,3.141593
0.020000,7.964493,14.950000,-0.035537,-0.424897,-3.68712,-17.557715,3.141593
0.020000,7.954380,14.950000,-0.04565,-0.505662,-4.038275,-17.557715,3.141593
0.020000,7.942581,14.950000,-0.057449,-0.589939,-4.213852,-8.778858,3.141593
0.020000,7.929097,14.950000,-0.070933,-0.674216,-4.213852,0,3.141593
0.020000,7.913927,14.950000,-0.086103,-0.758493,-4.213852,0,3.141593
0.020000,7.897072,14.950000,-0.102958,-0.84277,-4.213852,0,3.141593
0.020000,7.878531,14.950000,-0.121499,-0.927047,-4.213852,0,3.141593
0.020000,7.858304,14.950000,-0.141726,-1.011324,-4.213852,0,3.141593
0.020000,7.836392,14.950000,-0.163638,-1.095601,-4.213852,0,3.141593
0.020000,7.812795,14.950000,-0.187235,-1.179878,-4.213852,0,3.141593
0.020000,7.787511,14.950000,-0.212519,-1.264156,-4.213852,0,3.141593
0.020000,7.760543,14.950000,-0.239487,-1.348433,-4.213852,0,3.141593
0.020000,7.731889,14.950000,-0.268141,-1.43271,-4.213852,0,3.141593
0.020000,7.701549,14.950000,-0.298481,-1.516987,-4.213852,0,3.141593
0.020000,7.669524,14.950000,-0.330506,-1.601264,-4.213852,0,3.141593
0.020000,7.635813,14.950000,-0.364217,-1.685541,-4.213852,0,3.141593
0.020000,7.600416,14.950000,-0.399614,-1.769818,-4.213852,0,3.141593
0.020000,7.563335,14.950000,-0.436695,-1.854095,-4.213852,0,3.141593
0.020000,7.524567,14.950000,-0.475463,-1.938372,-4.213852,0,3.141593
0.020000,7.484114,14.950000,-0.515916,-2.022649,-4.213852,0,3.141593
0.020000,7.441976,14.950000,-0.558054,-2.106926,-4.213852,0,3.141593
0.020000,7.398152,14.950000,-0.601878,-2.191203,-4.213852,0,3.141593
0.020000,7.352642,14.950000,-0.647388,-2.27548,-4.213852,0,3.141593
0.020000,7.305447,14.950000,-0.694583,-2.359757,-4.213852,0,3.141593
0.020000,7.256566,14.950000,-0.743464,-2.444034,-4.213852,0,3.141593
0.020000,7.206000,14.950000,-0.79403,-2.528311,-4.213852,0,3.141593
0.020000,7.153748,14.950000,-0.846282,-2.612588,-4.213852,0,3.141593
0.020000,7.099881,14.950000,-0.900149,-2.693354,-4.038275,8.778858,3.141593
0.020000,7.044539,14.950000,-0.955491,-2.767096,-3.68712,17.557715,3.141593
0.020000,6.987863,14.950000,-1.012167,-2.833815,-3.335966,17.557715,3.141593
0.020000,6.929993,14.950000,-1.070037,-2.893512,-2.984812,17.557715,3.141593
0.020000,6.871069,14.950000,-1.128961,-2.946185,-2.633657,17.557715,3.141593
0.020000,6.811232,14.950000,-1.188798,-2.991835,-2.282503,17.557715,3.141593
0.020000,6.750623,14.950000,-1.249407,-3.030462,-1.931349,17.557715,3.141593
0.020000,6.689382,14.950000,-1.310648,-3.062066,-1.580194,17.557715,3.141593
0.020000,6.627649,14.950000,-1.372381,-3.086646,-1.22904,17.557715,3.141593
0.020000,6.565565,14.950000,-1.434465,-3.104204,-0.877886,17.557715,3.141593
0.020000,6.503270,14.950000,-1.49676,-3.114739,-0.526731,17.557715,3.141593
0.020000,6.440968,14.950000,-1.559062,-3.115105,-0.018327,25.420224,3.141593
0.020000,6.378862,14.950000,-1.621168,-3.105304,0.490077,25.420224,3.141593
0.020000,6.317092,14.950000,-1.682938,-3.088479,0.841232,17.557715,3.141593
0.020000,6.255799,14.950000,-1.744231,-3.064631,1.192386,17.557715,3.141593
0.020000,6.195124,14.950000,-1.804906,-3.033761,1.54354,17.557715,3.141593
0.020000,6.135207,14.950000,-1.864823,-2.995867,1.894695,17.557715,3.141593
0.020000,6.076188,14.950000,-1.923842,-2.95095,2.245849,17.557715,3.141593
0.020000,6.018208,14.950000,-1.981822,-2.89901,2.597003,17.557715,3.141593
0.020000,5.961407,14.950000,-2.038623,-2.840046,2.948158,17.557715,3.141593
0.020000,5.905926,14.950000,-2.094104,-2.77406,3.299312,17.557715,3.141593
0.020000,5.851905,14.950000,-2.148125,-2.701051,3.650466,17.557715,3.141593
0.020000,5.799484,14.950000,-2.200546,-2.621018,4.001621,17.557715,3.141593
0.020000,5.748742,14.950000,-2.251288,-2.537108,4.195525,9.695207,3.141593
0.020000,5.699685,14.950000,-2.300345,-2.452831,4.213852,0.916349,3.141593
0.020000,5.652314,14.950000,-2.347716,-2.368554,4.213852,0,3.141593
0.020000,5.606629,14.950000,-2.393401,-2.284277,4.213852,0,3.141593
0.020000,5.562629,14.950000,-2.437401,-2.2,4.213852,0,3.141593
0.020000,5.520314,14.950000,-2.479716,-2.115723,4.213852,0,3.141593
0.020000,5.479685,14.950000,-2.520345,-2.031446,4.213852,0,3.141593
0.020000,5.440742,14.950000,-2.559288,-1.947169,4.213852,0,3.141593
0.020000,5.403484,14.950000,-2.596546,-1.862892,4.213852,0,3.141593
0.020000,5.367912,14.950000,-2.632118,-1.778615,4.213852,0,3.141593
0.020000,5.334025,14.950000,-2.666005,-1.694338,4.213852,0,3.141593
0.020000,5.301824,14.950000,-2.698206,-1.610061,4.213852,0,3.141593
0.020000,5.271308,14.950000,-2.728722,-1.525784,4.213852,0,3.141593
