dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.250026,14.950000,0.000067,0.006707,0.335332,16.766602,0.000000
0.020000,4.250295,14.950000,0.000335,0.013413,0.335332,0.000000,0.000000
0.020000,4.250898,14.950000,0.000939,0.030180,0.838330,25.149903,0.000000
0.020000,4.251971,14.950000,0.002012,0.053653,1.173662,16.766602,0.000000
0.020000,4.253648,14.950000,0.003689,0.083833,1.508994,16.766602,0.000000
0.020000,4.256062,14.950000,0.006103,0.120720,1.844326,16.766602,0.000000
0.020000,4.259348,14.950000,0.009389,0.164313,2.179658,16.766602,0.000000
0.020000,4.263641,14.950000,0.013682,0.214613,2.514990,16.766602,0.000000
0.020000,4.269073,14.950000,0.019114,0.271619,2.850322,16.766602,0.000000
0.020000,4.275780,14.950000,0.025821,0.335332,3.185654,16.766602,0.000000
0.020000,4.283895,14.950000,0.033936,0.405752,3.520986,16.766602,0.000000
0.020000,4.293552,14.950000,0.043593,0.482878,3.856318,16.766602,0.000000
0.020000,4.304887,14.950000,0.054927,0.566711,4.191650,16.766602,0.000000
0.020000,4.318032,14.950000,0.068072,0.657251,4.526983,16.766602,0.000000
0.020000,4.333122,14.950000,0.083162,0.754497,4.862315,16.766602,0.000000
0.020000,4.350291,14.950000,0.100331,0.858450,5.197647,16.766602,0.000000
0.020000,4.369606,14.950000,0.119646,0.965756,5.365313,8.383301,0.000000
0.020000,4.391067,14.950000,0.141108,1.073063,5.365313,-0.000000,0.000000
0.020000,4.414674,14.950000,0.164715,1.180369,5.365313,0.000000,0.000000
0.020000,4.440428,14.950000,0.190469,1.287675,5.365313,0.000000,0.000000
0.020000,4.468327,14.950000,0.218368,1.394981,5.365313,0.000000,0.000000
0.020000,4.498373,14.950000,0.248414,1.502288,5.365313,-0.000000,0.000000
0.020000,4.530565,14.950000,0.280606,1.609594,5.365313,0.000000,0.000000
0.020000,4.564903,14.950000,0.314944,1.716900,5.365313,-0.000000,0.000000
0.020000,4.601387,14.950000,0.351428,1.824206,5.365313,-0.000000,0.000000
0.020000,4.640017,14.950000,0.390058,1.931513,5.365313,-0.000000,0.000000
0.020000,4.680794,14.950000,0.430835,2.038819,5.365313,0.000000,0.000000
0.020000,4.723716,14.950000,0.473757,2.146125,5.365313,0.000000,0.000000
0.020000,4.768785,14.950000,0.518826,2.253431,5.365313,-0.000000,0.000000
0.020000,4.816000,14.950000,0.566040,2.360738,5.365313,-0.000000,0.000000
0.020000,4.865361,14.950000,0.615401,2.468044,5.365313,0.000000,0.000000
0.020000,4.916868,14.950000,0.666908,2.575350,5.365313,-0.000000,0.000000
0.020000,4.970521,14.950000,0.720561,2.682656,5.365313,0.000000,0.000000
0.020000,5.026320,14.950000,0.776361,2.789963,5.365313,-0.000000,0.000000
0.020000,5.084265,14.950000,0.834306,2.897269,5.365313,0.000000,0.000000
0.020000,5.144357,14.950000,0.894398,3.004575,5.365313,0.000000,0.000000
0.020000,5.206594,14.950000,0.956635,3.111881,5.365313,0.000000,0.000000
0.020000,5.270911,14.950000,1.020952,3.215834,5.197647,-8.383301,0.000000
0.020000,5.337173,14.950000,1.087214,3.313081,4.862315,-16.766602,0.000000
0.020000,5.405245,14.950000,1.155286,3.403620,4.526983,-16.766602,0.000000
0.020000,5.474994,14.950000,1.225035,3.487453,4.191650,-16.766602,0.000000
0.020000,5.546286,14.950000,1.296327,3.564580,3.856318,-16.766602,0.000000
0.020000,5.618986,14.950000,1.369027,3.634999,3.520986,-16.766602,0.000000
0.020000,5.692960,14.950000,1.443001,3.698712,3.185654,-16.766602,0.000000
0.020000,5.768074,14.950000,1.518115,3.755719,2.850322,-16.766602,0.000000
0.020000,5.844195,14.950000,1.594236,3.806019,2.514990,-16.766602,0.000000
0.020000,5.921187,14.950000,1.671228,3.849612,2.179658,-16.766602,0.000000
0.020000,5.998917,14.950000,1.748958,3.886498,1.844326,-16.766602,0.000000
0.020000,6.077251,14.950000,1.827291,3.916678,1.508994,-16.766602,0.000000
0.020000,6.156054,14.950000,1.906094,3.940151,1.173662,-16.766602,0.000000
0.020000,6.235192,14.950000,1.985233,3.956918,0.838330,-16.766602,0.000000
0.020000,6.314490,14.950000,2.064531,3.964904,0.399316,-21.950699,0.000000
0.020000,6.393705,14.950000,2.143746,3.960757,-0.207364,-30.334000,0.000000
0.020000,6.472636,14.950000,2.222677,3.946550,-0.710362,-25.149903,0.000000
0.020000,6.551149,14.950000,2.301190,3.925636,-1.045694,-16.766602,0.000000
0.020000,6.629109,14.950000,2.379150,3.898015,-1.381026,-16.766602,0.000000
0.020000,6.706383,14.950000,2.456424,3.863688,-1.716358,-16.766602,0.000000
0.020000,6.782836,14.950000,2.532877,3.822654,-2.051690,-16.766602,0.000000
0.020000,6.858334,14.950000,2.608375,3.774914,-2.387022,-16.766602,0.000000
0.020000,6.932744,14.950000,2.682784,3.720467,-2.722354,-16.766602,0.000000
0.020000,7.005930,14.950000,2.755971,3.659313,-3.057686,-16.766602,0.000000
0.020000,7.077759,14.950000,2.827800,3.591453,-3.393018,-16.766602,0.000000
0.020000,7.148097,14.950000,2.898137,3.516886,-3.728350,-16.766602,0.000000
0.020000,7.216809,14.950000,2.966850,3.435612,-4.063682,-16.766602,0.000000
0.020000,7.283762,14.950000,3.033802,3.347632,-4.399014,-16.766602,0.000000
0.020000,7.348820,14.950000,3.098861,3.252945,-4.734346,-16.766602,0.000000
0.020000,7.411852,14.950000,3.161892,3.151551,-5.069678,-16.766602,0.000000
0.020000,7.472762,14.950000,3.222803,3.045525,-5.301329,-11.582504,0.000000
0.020000,7.531526,14.950000,3.281567,2.938219,-5.365313,-3.199203,0.000000
0.020000,7.588145,14.950000,3.338185,2.830912,-5.365313,0.000000,0.000000
0.020000,7.642617,14.950000,3.392658,2.723606,-5.365313,-0.000000,0.000000
0.020000,7.694943,14.950000,3.444984,2.616300,-5.365313,0.000000,0.000000
0.020000,7.745123,14.950000,3.495163,2.508994,-5.365313,-0.000000,0.000000
0.020000,7.793156,14.950000,3.543197,2.401687,-5.365313,0.000000,0.000000
0.020000,7.839044,14.950000,3.589085,2.294381,-5.365313,0.000000,0.000000
0.020000,7.882785,14.950000,3.632826,2.187075,-5.365313,0.000000,0.000000
0.020000,7.924381,14.950000,3.674422,2.079769,-5.365313,0.000000,0.000000
0.020000,7.963830,14.950000,3.713871,1.972462,-5.365313,-0.000000,0.000000
0.020000,8.001133,14.950000,3.751174,1.865156,-5.365313,0.000000,0.000000
0.020000,8.036290,14.950000,3.786331,1.757850,-5.365313,-0.000000,0.000000
0.020000,8.069301,14.950000,3.819342,1.650544,-5.365313,0.000000,0.000000
0.020000,8.100166,14.950000,3.850207,1.543237,-5.365313,-0.000000,0.000000
0.020000,8.128884,14.950000,3.878925,1.435931,-5.365313,0.000000,0.000000
0.020000,8.155457,14.950000,3.905498,1.328625,-5.365313,-0.000000,0.000000
0.020000,8.179883,14.950000,3.929924,1.221319,-5.365313,0.000000,0.000000
0.020000,8.202164,14.950000,3.952204,1.114012,-5.365313,-0.000000,0.000000
0.020000,8.222298,14.950000,3.972338,1.006706,-5.365313,0.000000,0.000000
0.020000,8.240286,14.950000,3.990326,0.899400,-5.365313,-0.000000,0.000000
0.020000,8.256169,14.950000,4.006210,0.794167,-5.261631,5.184098,0.000000
0.020000,8.270056,14.950000,4.020097,0.694362,-4.990283,13.567399,0.000000
0.020000,8.282082,14.950000,4.032122,0.601263,-4.654951,16.766602,0.000000
0.020000,8.292379,14.950000,4.042420,0.514870,-4.319619,16.766602,0.000000
0.020000,8.301083,14.950000,4.051123,0.435184,-3.984287,16.766602,0.000000
0.020000,8.308327,14.950000,4.058368,0.362205,-3.648955,16.766602,0.000000
0.020000,8.314245,14.950000,4.064286,0.295933,-3.313622,16.766602,0.000000
0.020000,8.318973,14.950000,4.069014,0.236367,-2.978290,16.766602,0.000000
0.020000,8.322643,14.950000,4.072684,0.183508,-2.642958,16.766602,0.000000
0.020000,8.325390,14.950000,4.075431,0.137355,-2.307626,16.766602,0.000000
0.020000,8.327348,14.950000,4.077389,0.097910,-1.972294,16.766602,0.000000
0.020000,8.328652,14.950000,4.078692,0.065170,-1.636962,16.766602,0.000000
0.020000,8.329434,14.950000,4.079475,0.039138,-1.301630,16.766602,0.000000
0.020000,8.329831,14.950000,4.079871,0.019812,-0.966298,16.766602,0.000000
0.020000,8.329974,14.950000,4.080015,0.007192,-0.630966,16.766602,0.000000
0.020000,8.330000,14.950000,4.080041,0.001280,-0.295634,16.766602,0.000000
0.020000,8.330000,14.950000,4.080041,0.000000,-0.063984,11.582504,0.000000
