dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.250027,12.650000,0.000068,0.006763,0.338165,16.908266,0.000000
0.020000,4.250297,12.650000,0.000338,0.013527,0.338165,0.000000,0.000000
0.020000,4.250906,12.650000,0.000947,0.030435,0.845413,25.362399,0.000000
0.020000,4.251988,12.650000,0.002029,0.054106,1.183579,16.908266,0.000000
0.020000,4.253679,12.650000,0.003720,0.084541,1.521744,16.908266,0.000000
0.020000,4.256114,12.650000,0.006155,0.121740,1.859909,16.908266,0.000000
0.020000,4.259428,12.650000,0.009469,0.165701,2.198075,16.908266,0.000000
0.020000,4.263756,12.650000,0.013797,0.216426,2.536240,16.908266,0.000000
0.020000,4.269235,12.650000,0.019275,0.273914,2.874405,16.908266,0.000000
0.020000,4.275998,12.650000,0.026039,0.338165,3.212571,16.908266,0.000000
0.020000,4.284182,12.650000,0.034222,0.409180,3.550736,16.908266,0.000000
0.020000,4.293921,12.650000,0.043961,0.486958,3.888901,16.908266,0.000000
0.020000,4.305283,12.650000,0.055324,0.568118,4.057984,8.454133,0.000000
0.020000,4.318269,12.650000,0.068309,0.649277,4.057984,-0.000000,0.000000
0.020000,4.332877,12.650000,0.082918,0.730437,4.057984,0.000000,0.000000
0.020000,4.349109,12.650000,0.099150,0.811597,4.057984,-0.000000,0.000000
0.020000,4.366964,12.650000,0.117005,0.892756,4.057984,0.000000,0.000000
0.020000,4.386443,12.650000,0.136484,0.973916,4.057984,-0.000000,0.000000
0.020000,4.407544,12.650000,0.157585,1.055076,4.057984,-0.000000,0.000000
0.020000,4.430269,12.650000,0.180310,1.136235,4.057984,0.000000,0.000000
0.020000,4.454617,12.650000,0.204658,1.217395,4.057984,0.000000,0.000000
0.020000,4.480588,12.650000,0.230629,1.298555,4.057984,0.000000,0.000000
0.020000,4.508182,12.650000,0.258223,1.379715,4.057984,0.000000,0.000000
0.020000,4.537400,12.650000,0.287441,1.460874,4.057984,0.000000,0.000000
0.020000,4.568240,12.650000,0.318281,1.542034,4.057984,-0.000000,0.000000
0.020000,4.600704,12.650000,0.350745,1.623194,4.057984,-0.000000,0.000000
0.020000,4.634791,12.650000,0.384832,1.704353,4.057984,0.000000,0.000000
0.020000,4.670502,12.650000,0.420542,1.785513,4.057984,-0.000000,0.000000
0.020000,4.707835,12.650000,0.457876,1.866673,4.057984,0.000000,0.000000
0.020000,4.746792,12.650000,0.496832,1.947832,4.057984,0.000000,0.000000
