dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.230017,13.900000,0.000069,0.006929,0.346465,17.323237,6.283171
0.020000,3.230157,13.900000,0.000210,0.007032,0.005122,-17.067142,0.000047
0.020000,3.230622,13.900000,0.000674,0.023223,0.809580,40.222892,0.000185
0.020000,3.231447,13.900000,0.001500,0.041280,0.902829,4.662455,0.000431
0.020000,3.232737,13.900001,0.002790,0.064484,1.160223,12.869733,0.000816
0.020000,3.234594,13.900003,0.004646,0.092824,1.416999,12.838782,0.001371
0.020000,3.237119,13.900008,0.007172,0.126281,1.672847,12.792414,0.002127
0.020000,3.240416,13.900016,0.010468,0.164829,1.927404,12.727852,0.003117
0.020000,3.244585,13.900032,0.014637,0.208434,2.180234,12.641471,0.004373
0.020000,3.249725,13.900058,0.019778,0.257051,2.430836,12.530112,0.005928
0.020000,3.255938,13.900101,0.025991,0.310624,2.678644,12.390412,0.007817
0.020000,3.263319,13.900167,0.033372,0.369084,2.923002,12.217894,0.010074
0.020000,3.271966,13.900266,0.042019,0.432348,3.163196,12.009692,0.012738
0.020000,3.281971,13.900409,0.052025,0.500316,3.398402,11.760313,0.015847
0.020000,3.293426,13.900611,0.063483,0.572870,3.627726,11.466168,0.019442
0.020000,3.306421,13.900890,0.076480,0.649873,3.850162,11.121810,0.023565
0.020000,3.321039,13.901269,0.091104,0.731165,4.064601,10.721958,0.028262
0.020000,3.337363,13.901774,0.107435,0.816562,4.269823,10.261076,0.033584
0.020000,3.355468,13.902436,0.125552,0.905852,4.464486,9.733194,0.039582
0.020000,3.375425,13.903294,0.145528,0.998794,4.647127,9.132030,0.046313
0.020000,3.397300,13.904390,0.167430,1.095117,4.816155,8.451403,0.053840
0.020000,3.421150,13.905775,0.191320,1.194515,4.969862,7.685344,0.062229
0.020000,3.447025,13.907508,0.217253,1.296643,5.106437,6.828762,0.071553
0.020000,3.474965,13.909655,0.245276,1.401123,5.223989,5.877594,0.081893
0.020000,3.505000,13.912293,0.275426,1.507535,5.320608,4.830921,0.093334
0.020000,3.537149,13.915506,0.307735,1.615424,5.394437,3.691482,0.105971
0.020000,3.571415,13.919391,0.342221,1.724300,5.443802,2.468237,0.119909
0.020000,3.607790,13.924056,0.378894,1.833648,5.467395,1.179680,0.135259
0.020000,3.646249,13.929618,0.417753,1.942939,5.464549,-0.142319,0.152143
0.020000,3.686704,13.936203,0.458740,2.049387,5.322421,-7.106395,0.170670
0.020000,3.729012,13.943933,0.501749,2.150413,5.051295,-13.556307,0.190934
0.020000,3.773018,13.952941,0.546667,2.245907,4.774679,-13.830794,0.213033
0.020000,3.818559,13.963362,0.593385,2.335926,4.500938,-13.687066,0.237060
0.020000,3.865469,13.975340,0.641800,2.420755,4.241494,-12.972181,0.263107
0.020000,3.913581,13.989022,0.691820,2.500983,4.011380,-11.505697,0.291253
0.020000,3.962733,14.004567,0.743372,2.577576,3.829648,-9.086634,0.321562
0.020000,4.012777,14.022140,0.796411,2.651965,3.719455,-5.509652,0.354071
0.020000,4.063583,14.041923,0.850933,2.726117,3.707611,-0.592193,0.388785
0.020000,4.115053,14.064119,0.906985,2.802583,3.823287,5.783834,0.425664
0.020000,4.167123,14.088955,0.964675,2.884497,4.095684,13.619849,0.464612
0.020000,4.219770,14.116699,1.024185,2.975507,4.550517,22.741631,0.505472
0.020000,4.272980,14.147643,1.085739,3.077687,5.108980,27.923173,0.547989
0.020000,4.326749,14.182103,1.149602,3.193151,5.773206,33.211294,0.591812
0.020000,4.381100,14.220437,1.216112,3.325501,6.617503,42.214848,0.636526
0.020000,4.436075,14.263038,1.285661,3.477463,7.598119,49.030790,0.681669
0.020000,4.491708,14.310320,1.358672,3.650553,8.654501,52.819069,0.726755
0.020000,4.548011,14.362696,1.435570,3.844878,9.716225,53.086207,0.771293
0.020000,4.604957,14.420556,1.516752,4.059123,10.712269,49.802242,0.814817
0.020000,4.662478,14.484238,1.602567,4.290732,11.580433,43.408199,0.856903
0.020000,4.720465,14.554012,1.693291,4.536225,12.274660,34.711318,0.897191
0.020000,4.778777,14.630061,1.789123,4.791601,12.768791,24.706570,0.935387
0.020000,4.837256,14.712477,1.890178,5.052730,13.056481,14.384497,0.971272
0.020000,4.895737,14.801260,1.996492,5.315692,13.148066,4.579230,1.004693
0.020000,4.954070,14.896332,2.108032,5.577007,13.065761,-4.115260,1.035559
0.020000,5.012123,14.997539,2.224707,5.833778,12.838549,-11.360594,1.063827
0.020000,5.069797,15.104677,2.346382,6.083733,12.497741,-17.040363,1.089496
0.020000,5.127029,15.217494,2.472886,6.325207,12.073699,-21.202110,1.112592
0.020000,5.183794,15.335714,2.604028,6.557082,11.593784,-23.995773,1.133163
0.020000,5.240105,15.459040,2.739602,6.778710,11.081364,-25.620993,1.151266
0.020000,5.296014,15.587170,2.879399,6.989822,10.555590,-26.288699,1.166963
0.020000,5.351610,15.719798,3.023208,7.190455,10.031653,-26.196827,1.180316
0.020000,5.407013,15.856624,3.170825,7.380881,9.521305,-25.517445,1.191381
0.020000,5.462376,15.997357,3.322056,7.561550,9.033462,-24.392150,1.200209
0.020000,5.517883,16.141714,3.476717,7.733046,8.574811,-22.932506,1.206838
0.020000,5.573742,16.289426,3.634638,7.896053,8.150342,-21.223452,1.211294
0.020000,5.630192,16.440234,3.795665,8.051329,7.763781,-19.328049,1.213593
0.020000,5.687495,16.593891,3.959659,8.199687,7.417927,-17.292743,1.213733
0.020000,5.745940,16.750158,4.126498,8.341985,7.114872,-15.152725,1.211700
0.020000,5.805836,16.908787,4.296058,8.477985,6.800035,-15.741867,1.207463
0.020000,5.867490,17.069462,4.468155,8.604876,6.344525,-22.775498,1.200982
0.020000,5.931241,17.231887,4.642644,8.724419,5.977169,-18.367795,1.192203
0.020000,5.997480,17.395831,4.819464,8.841013,5.829699,-7.373499,1.181057
0.020000,6.066624,17.561056,4.998573,8.955458,5.722265,-5.371712,1.167461
0.020000,6.139120,17.727306,5.179942,9.068459,5.650049,-3.610773,1.151320
