dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.229985,11.600000,0.000069,0.006912,0.345605,17.280275,6.283172
0.020000,3.230281,11.600000,0.000365,0.014802,0.394480,2.443708,0.000053
0.020000,3.231073,11.600000,0.001158,0.039637,1.241765,42.364278,0.000201
0.020000,3.232483,11.600001,0.002567,0.070472,1.541768,15.000118,0.000465
0.020000,3.234685,11.600002,0.004770,0.110130,1.982876,22.055436,0.000877
0.020000,3.237858,11.600006,0.007942,0.158623,2.424662,22.089287,0.001472
0.020000,3.242177,11.600014,0.012262,0.215972,2.867456,22.139682,0.002283
0.020000,3.247821,11.600030,0.017906,0.282205,3.311655,22.209980,0.003344
0.020000,3.254969,11.600058,0.025053,0.357360,3.757732,22.303852,0.004691
0.020000,3.263798,11.600107,0.033883,0.441485,4.206230,22.424871,0.006358
0.020000,3.274491,11.600186,0.044576,0.534640,4.657768,22.576902,0.008384
0.020000,3.287228,11.600308,0.057314,0.636901,5.113045,22.763858,0.010805
0.020000,3.302194,11.600491,0.072281,0.748358,5.572843,22.989913,0.013662
0.020000,3.319574,11.600758,0.089663,0.869118,6.038035,23.259615,0.016997
0.020000,3.339557,11.601136,0.109649,0.999310,6.509593,23.577879,0.020852
0.020000,3.362333,11.601661,0.132431,1.139082,6.988584,23.949535,0.025275
0.020000,3.388095,11.602377,0.158203,1.288606,7.476181,24.379837,0.030316
0.020000,3.417040,11.603338,0.187165,1.448079,7.973668,24.874358,0.036025
0.020000,3.449370,11.604607,0.219519,1.617728,8.482448,25.439035,0.042462
0.020000,3.485288,11.606263,0.255475,1.797808,9.004025,26.078853,0.049686
0.020000,3.525003,11.608398,0.295248,1.988609,9.540017,26.799591,0.057764
0.020000,3.568727,11.611124,0.339057,2.190451,10.092110,27.604643,0.066768
0.020000,3.616677,11.614571,0.387130,2.403692,10.662063,28.497651,0.076776
0.020000,3.669074,11.618893,0.439705,2.628725,11.251623,29.478001,0.087873
0.020000,3.726140,11.624273,0.497024,2.865974,11.862466,30.542143,0.100150
0.020000,3.788010,11.630913,0.559250,3.111273,12.264968,20.125086,0.113688
0.020000,3.854725,11.639031,0.626457,3.360344,12.453544,9.428829,0.128553
0.020000,3.926320,11.648877,0.698725,3.613432,12.654365,10.041023,0.144815
0.020000,4.002822,11.660725,0.776140,3.870733,12.865073,10.535425,0.162546
0.020000,4.084248,11.674883,0.858788,4.132377,13.082201,10.856394,0.181822
0.020000,4.170596,11.691690,0.946756,4.398394,13.300849,10.932385,0.202720
0.020000,4.261840,11.711518,1.040129,4.668681,13.514361,10.675627,0.225314
0.020000,4.357925,11.734773,1.138988,4.942960,13.713962,9.980049,0.249672
0.020000,4.458757,11.761891,1.243403,5.220730,13.888469,8.725334,0.275857
0.020000,4.564191,11.793337,1.353427,5.501211,14.024064,6.779745,0.303915
