dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.830014,15.350000,0.000070,0.006987,0.349327,17.466358,6.283173
0.020000,5.830166,15.350000,0.000222,0.007587,0.030033,-15.964707,0.000055
0.020000,5.830621,15.350000,0.000676,0.022743,0.757789,36.387794,0.000206
0.020000,5.831429,15.350000,0.001485,0.040421,0.883923,6.306683,0.000475
0.020000,5.832692,15.350001,0.002748,0.063131,1.135499,12.578817,0.000896
0.020000,5.834509,15.350003,0.004565,0.090851,1.385990,12.524561,0.001503
0.020000,5.836980,15.350008,0.007036,0.123548,1.634850,12.443013,0.002332
0.020000,5.840203,15.350017,0.010259,0.161177,1.881426,12.328784,0.003417
0.020000,5.844277,15.350034,0.014333,0.203675,2.124937,12.175572,0.004795
0.020000,5.849296,15.350062,0.019352,0.250965,2.364467,11.976471,0.006506
0.020000,5.855355,15.350108,0.025411,0.302944,2.598938,11.723576,0.008589
0.020000,5.862544,15.350179,0.032600,0.359486,2.827121,11.409129,0.011085
0.020000,5.870952,15.350284,0.041009,0.420438,3.047579,11.022886,0.014040
0.020000,5.880663,15.350438,0.050721,0.485611,3.258655,10.553813,0.017502
0.020000,5.891756,15.350654,0.061817,0.554779,3.458431,9.988821,0.021523
0.020000,5.904306,15.350953,0.074370,0.627673,3.644686,9.312722,0.026160
0.020000,5.918380,15.351359,0.088450,0.703970,3.814828,8.507094,0.031474
0.020000,5.934036,15.351899,0.104116,0.783286,3.965842,7.550728,0.037536
0.020000,5.951325,15.352608,0.121419,0.865170,4.094203,6.418030,0.044421
0.020000,5.970285,15.353524,0.140401,0.949086,4.195765,5.078115,0.052216
0.020000,5.990940,15.354694,0.161089,1.034399,4.265679,3.495714,0.061018
0.020000,6.013298,15.356171,0.183496,1.120364,4.298239,1.627990,0.070938
0.020000,6.037305,15.358010,0.207573,1.203838,4.173680,-6.227977,0.082079
0.020000,6.062839,15.360269,0.233207,1.281729,3.894583,-13.954824,0.094538
0.020000,6.089765,15.363009,0.260272,1.353225,3.574791,-15.989604,0.108427
0.020000,6.117923,15.366292,0.288620,1.417421,3.209805,-18.249303,0.123873
0.020000,6.147131,15.370181,0.318087,1.473320,2.794944,-20.743071,0.141019
0.020000,6.177185,15.374735,0.348483,1.519833,2.325627,-23.465855,0.160030
0.020000,6.207850,15.380012,0.379599,1.555790,1.797859,-26.388371,0.181088
0.020000,6.238865,15.386060,0.411199,1.579970,1.209002,-29.442876,0.204399
0.020000,6.269941,15.392914,0.443022,1.591150,0.558992,-32.500506,0.230188
0.020000,6.300763,15.400594,0.474785,1.588192,-0.147880,-35.343552,0.258702
0.020000,6.330994,15.409095,0.506189,1.570185,-0.900374,-37.624720,0.290202
0.020000,6.360288,15.418389,0.536922,1.536648,-1.676826,-38.822615,0.324958
0.020000,6.388304,15.428416,0.566679,1.487834,-2.440713,-38.194357,0.363236
0.020000,6.414734,15.439087,0.595181,1.425121,-3.135670,-34.747838,0.405277
0.020000,6.439329,15.450299,0.622211,1.351501,-3.680960,-27.264513,0.451271
0.020000,6.461946,15.461951,0.647653,1.272110,-3.969559,-14.429922,0.501319
0.020000,6.482589,15.473983,0.671547,1.194666,-3.872208,4.867551,0.555387
0.020000,6.501439,15.486436,0.694139,1.129633,-3.251631,31.028837,0.613259
0.020000,6.518877,15.499514,0.715936,1.089836,-1.989867,63.088226,0.674496
0.020000,6.535450,15.513655,0.737722,1.089298,-0.026899,98.148360,0.738415
0.020000,6.551812,15.529570,0.760548,1.141291,2.599634,131.326671,0.804102
0.020000,6.568616,15.548240,0.785666,1.255930,5.731955,156.616030,0.870468
0.020000,6.586397,15.570846,0.814427,1.438030,9.105028,168.653675,0.936341
0.020000,6.605459,15.598633,0.848124,1.684845,12.340725,161.784864,1.000532
0.020000,6.625836,15.632746,0.887859,1.986779,15.096683,137.797888,1.061963
0.020000,6.647311,15.674113,0.934469,2.330452,17.183664,104.349061,1.119786
0.020000,6.669493,15.723360,0.988481,2.700634,18.509085,66.271044,1.173419
0.020000,6.691899,15.780800,1.050136,3.082752,19.105917,29.841579,1.222533
0.020000,6.714040,15.846459,1.119427,3.464563,19.090548,-0.768441,1.267012
0.020000,6.735478,15.920140,1.196165,3.836865,18.615118,-23.771484,1.306901
0.020000,6.755867,16.001494,1.280034,4.193478,17.830660,-39.222930,1.342349
0.020000,6.774962,16.090075,1.370650,4.530801,16.866149,-48.225519,1.373572
0.020000,6.792617,16.185399,1.467595,4.847222,15.821042,-52.255350,1.400812
0.020000,6.808782,16.286971,1.570446,5.142547,14.766262,-52.739041,1.424313
0.020000,6.823485,16.394320,1.678796,5.417530,13.749128,-50.856677,1.444309
0.020000,6.836822,16.507004,1.792267,5.673516,12.799295,-47.491633,1.461007
0.020000,6.848945,16.624624,1.910511,5.912199,11.934168,-43.256347,1.474587
0.020000,6.860051,16.746830,2.033220,6.135465,11.163269,-38.544965,1.485196
0.020000,6.870379,16.873315,2.160126,6.345294,10.491486,-33.589159,1.492946
0.020000,6.880201,17.003820,2.291000,6.543722,9.921389,-28.504865,1.497913
0.020000,6.889826,17.138132,2.425657,6.732819,9.454821,-23.328406,1.500138
0.020000,6.899593,17.276081,2.563951,6.914698,9.093964,-18.042844,1.499626
0.020000,6.909879,17.417538,2.705781,7.091538,8.842029,-12.596717,1.496342
0.020000,6.921099,17.562417,2.851094,7.265612,8.703656,-6.918669,1.490213
0.020000,6.933709,17.710596,2.999808,7.435735,8.506192,-9.873192,1.481128
0.020000,6.948213,17.861985,3.151890,7.604105,8.418465,-4.386373,1.468940
0.020000,6.965187,18.016591,3.307426,7.776773,8.633433,10.748430,1.453451
0.020000,6.985277,18.174448,3.466556,7.956505,8.986588,17.657757,1.434418
0.020000,7.009226,18.335601,3.629479,8.146130,9.481249,24.733042,1.411547
0.020000,7.037880,18.500092,3.796447,8.348409,10.113935,31.634280,1.384495
0.020000,7.072214,18.667932,3.967762,8.565774,10.868234,37.714973,1.352879
0.020000,7.113342,18.839056,4.143760,8.799886,11.705630,41.869802,1.316284
0.020000,7.162522,19.013267,4.324779,9.050943,12.552833,42.360140,1.274295
0.020000,7.221137,19.190141,4.511112,9.316671,13.286410,36.678821,1.226534
0.020000,7.290642,19.368926,4.702933,9.591039,13.718378,21.598442,1.172727
0.020000,7.372453,19.548418,4.900190,9.862870,13.591565,-6.340675,1.112798
0.020000,7.467761,19.726857,5.102488,10.114863,12.599668,-49.594857,1.046968
0.020000,7.577278,19.901896,5.308965,10.323843,10.449011,-107.532853,0.975864
0.020000,7.700961,20.070698,5.518228,10.463175,6.966564,-174.122334,0.900578
0.020000,7.837792,20.230202,5.728382,10.507672,2.224862,-237.085106,0.822638
0.020000,7.985740,20.377539,5.937180,10.439938,-3.386680,-280.577093,0.743878
0.020000,8.141952,20.510463,6.142292,10.255576,-9.218109,-291.571428,0.666207
0.020000,8.303139,20.627664,6.341584,9.964605,-14.548551,-266.522115,0.591360
0.020000,8.466031,20.728859,6.533350,9.588299,-18.815287,-213.336832,0.520701
0.020000,8.627748,20.814648,6.716413,9.153180,-21.755986,-147.034914,0.455132
0.020000,8.786001,20.886257,6.890114,8.685024,-23.407804,-82.590904,0.395106
0.020000,8.939229,20.945281,7.054317,8.210166,-23.742880,-16.753830,0.340673
0.020000,9.086527,20.993432,7.209286,7.748429,-23.086855,32.801290,0.291602
0.020000,9.227422,21.032331,7.355451,7.308265,-22.008175,53.933977,0.247516
0.020000,9.361736,21.063437,7.493320,6.893458,-20.740352,63.391155,0.207973
0.020000,9.489490,21.088019,7.623418,6.504867,-19.429560,65.539616,0.172517
0.020000,9.610821,21.107161,7.746249,6.141573,-18.164718,63.242078,0.140708
0.020000,9.725930,21.121778,7.862283,5.801701,-16.993613,58.555256,0.112137
0.020000,9.835051,21.132636,7.971942,5.482959,-15.937081,52.826604,0.086437
