dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.829985,13.050000,0.000070,0.007035,0.351736,17.586807,6.283172
0.020000,5.830282,13.050000,0.000368,0.014869,0.391724,1.999406,0.000051
0.020000,5.831082,13.050000,0.001168,0.039997,1.256391,43.233358,0.000196
0.020000,5.832504,13.050001,0.002590,0.071115,1.555885,14.974662,0.000454
0.020000,5.834727,13.050002,0.004813,0.111140,2.001241,22.267811,0.000858
0.020000,5.837929,13.050006,0.008015,0.160090,2.447518,22.313866,0.001440
0.020000,5.842289,13.050014,0.012374,0.217993,2.895164,22.382271,0.002234
0.020000,5.847986,13.050029,0.018072,0.284888,3.344728,22.478232,0.003273
0.020000,5.855203,13.050058,0.025289,0.360825,3.796872,22.607184,0.004594
0.020000,5.864120,13.050106,0.034206,0.445872,4.252346,22.773708,0.006231
0.020000,5.874922,13.050184,0.045008,0.540113,4.712047,22.985051,0.008222
0.020000,5.887795,13.050305,0.057881,0.643653,5.176985,23.246907,0.010607
0.020000,5.902926,13.050487,0.073014,0.756619,5.648332,23.567337,0.013428
0.020000,5.920507,13.050752,0.090597,0.879168,6.127424,23.954590,0.016728
0.020000,5.940734,13.051129,0.110827,1.011484,6.615787,24.418156,0.020556
0.020000,5.963803,13.051654,0.133903,1.153787,7.115185,24.969911,0.024962
0.020000,5.989920,13.052372,0.160029,1.306340,7.627627,25.622079,0.030002
0.020000,6.019293,13.053338,0.189418,1.469449,8.155433,26.390307,0.035738
0.020000,6.052138,13.054619,0.222288,1.643474,8.701259,27.291328,0.042238
0.020000,6.088676,13.056297,0.258865,1.828837,9.268185,28.346269,0.049575
0.020000,6.129138,13.058471,0.299385,2.026032,9.859738,29.577667,0.057834
0.020000,6.173764,13.061262,0.344098,2.235632,10.479992,31.012697,0.067107
0.020000,6.222708,13.064806,0.393171,2.453642,10.900519,21.026346,0.077481
0.020000,6.276043,13.069256,0.446691,2.676010,11.118368,10.892456,0.089031
0.020000,6.333846,13.074787,0.504757,2.903310,11.365037,12.333444,0.101842
0.020000,6.396197,13.081604,0.567481,3.136170,11.642971,13.896714,0.116011
0.020000,6.463186,13.089940,0.634986,3.375261,11.954567,15.579796,0.131647
0.020000,6.534901,13.100062,0.707412,3.621301,12.301974,17.370356,0.148871
0.020000,6.611433,13.112279,0.784912,3.875036,12.686760,19.239284,0.167816
0.020000,6.692867,13.126944,0.867657,4.137226,13.109494,21.136722,0.188629
0.020000,6.779282,13.144461,0.955829,4.408606,13.569027,22.976622,0.211472
0.020000,6.870737,13.165290,1.049626,4.689839,14.061625,24.629907,0.236514
0.020000,6.967265,13.189953,1.149255,4.981432,14.579675,25.902514,0.263936
0.020000,7.068855,13.219040,1.254927,5.283635,15.110119,26.522169,0.293923
0.020000,7.175439,13.253206,1.366853,5.596284,15.632472,26.117690,0.326657
0.020000,7.286860,13.293172,1.485225,5.918619,16.116727,24.212743,0.362306
0.020000,7.402853,13.339712,1.610206,6.249045,16.521333,20.230276,0.401012
0.020000,7.523005,13.393636,1.741904,6.584887,16.792093,13.538033,0.442868
0.020000,7.646729,13.455755,1.880347,6.922146,16.862922,3.541445,0.487900
0.020000,7.773236,13.526833,2.025454,7.255344,16.659911,-10.150583,0.536038
0.020000,7.901516,13.607528,2.177005,7.577544,16.109993,-27.495889,0.587089
0.020000,8.030353,13.698319,2.334617,7.880638,15.154718,-47.763736,0.640722
0.020000,8.158353,13.799433,2.497737,8.155990,13.767594,-69.356202,0.696454
0.020000,8.284022,13.910790,2.665645,8.395406,11.970795,-89.839945,0.753660
0.020000,8.405863,14.031975,2.837491,8.592300,9.844686,-106.305485,0.811600
0.020000,8.522416,14.162169,3.012234,8.737143,7.242167,-130.125940,0.869428
0.020000,8.632398,14.300195,3.188720,8.824310,4.358330,-144.191852,0.926264
0.020000,8.734875,14.444705,3.365877,8.857843,1.676685,-134.082231,0.981297
0.020000,8.829292,14.594299,3.542775,8.844886,-0.647882,-116.228335,1.033838
0.020000,8.915457,14.747636,3.718663,8.794414,-2.523584,-93.785122,1.083359
0.020000,8.993487,14.903514,3.892981,8.715883,-3.926527,-70.147155,1.129494
0.020000,9.063734,15.060911,4.065343,8.618102,-4.889071,-48.127197,1.172029
0.020000,9.126708,15.219001,4.235513,8.508508,-5.479708,-29.531869,1.210882
0.020000,9.183012,15.377133,4.403370,8.392857,-5.782536,-15.141373,1.246071
0.020000,9.233289,15.534816,4.568875,8.275229,-5.881394,-4.942917,1.277683
0.020000,9.278190,15.691681,4.732039,8.158224,-5.850247,1.557350,1.305852
0.020000,9.318341,15.847455,4.892904,8.043244,-5.749012,5.061765,1.330736
0.020000,9.354340,16.001931,5.051520,7.930781,-5.623151,6.293055,1.352501
0.020000,9.386743,16.154952,5.207933,7.820675,-5.505305,5.892283,1.371310
0.020000,9.416067,16.306385,5.362180,7.712320,-5.417768,4.376850,1.387316
0.020000,9.442789,16.456115,5.514276,7.604819,-5.375018,2.137520,1.400658
0.020000,9.467350,16.604032,5.664218,7.497100,-5.385951,-0.546655,1.411452
0.020000,9.490158,16.750021,5.811978,7.387986,-5.455686,-3.486734,1.419799
0.020000,9.511592,16.893959,5.957503,7.276248,-5.586932,-6.562325,1.425773
0.020000,9.532003,17.035709,6.100715,7.160628,-5.780986,-9.702721,1.429431
0.020000,9.551719,17.175119,6.241513,7.039860,-6.038423,-12.871806,1.430805
0.020000,9.571037,17.311961,6.379711,6.909930,-6.496467,-22.902210,1.429907
0.020000,9.590237,17.445988,6.515107,6.769772,-7.007901,-25.571731,1.426729
0.020000,9.609581,17.576987,6.647526,6.620954,-7.440896,-21.649711,1.421243
0.020000,9.629311,17.704716,6.776770,6.462208,-7.937333,-24.821872,1.413400
0.020000,9.649647,17.828908,6.902615,6.292273,-8.496735,-27.970117,1.403126
0.020000,9.670781,17.949265,7.024814,6.109913,-9.118014,-31.063911,1.390329
0.020000,9.692876,18.065461,7.143092,5.913936,-9.798833,-34.040947,1.374893
0.020000,9.716064,18.177144,7.257157,5.703242,-10.534686,-36.792657,1.356686
0.020000,9.740433,18.283937,7.366695,5.476890,-11.317608,-39.146128,1.335557
0.020000,9.766026,18.385444,7.471379,5.234201,-12.134467,-40.842947,1.311344
0.020000,9.792832,18.481263,7.570877,4.974905,-12.964814,-41.517318,1.283882
0.020000,9.820778,18.570999,7.664864,4.699337,-13.778385,-40.678559,1.253009
0.020000,9.849726,18.654286,7.753037,4.408685,-14.532576,-37.709544,1.218586
0.020000,9.879470,18.730814,7.835143,4.105275,-15.170535,-31.897975,1.180513
0.020000,9.909747,18.800367,7.911000,3.792854,-15.621017,-22.524118,1.138755
0.020000,9.940249,18.862857,7.980536,3.476822,-15.801612,-9.029750,1.093372
0.020000,9.970654,18.918360,8.043822,3.164280,-15.627108,8.725229,1.044547
0.020000,10.000667,18.967143,8.101098,2.863798,-15.024081,30.151358,0.992613
0.020000,10.030061,19.009668,8.152794,2.584783,-13.950755,53.666302,0.938063
0.020000,10.058725,19.046572,8.199522,2.336427,-12.417826,76.646441,0.881555
0.020000,10.086690,19.078612,8.242050,2.126374,-10.502627,95.759930,0.823875
0.020000,10.114127,19.106594,8.281238,1.959409,-8.348266,107.718087,0.765897
0.020000,10.141331,19.131302,8.317988,1.837525,-6.094198,112.703391,0.708477
0.020000,10.168676,19.153435,8.353168,1.758987,-3.926910,108.364382,0.652382
0.020000,10.196536,19.173544,8.387527,1.717965,-2.051096,93.790679,0.598266
0.020000,10.225229,19.192026,8.421657,1.706498,-0.573329,73.888363,0.546641
0.020000,10.254978,19.209137,8.455976,1.715946,0.472391,52.286026,0.497871
0.020000,10.285895,19.225025,8.490737,1.738018,1.103618,31.561339,0.452177
0.020000,10.317981,19.239764,8.526046,1.765491,1.373654,13.501811,0.409651
0.020000,10.351145,19.253383,8.561898,1.792569,1.353866,-0.989397,0.370288
0.020000,10.385220,19.265893,8.598197,1.814948,1.118947,-11.745992,0.334005
0.020000,10.419990,19.277303,8.634791,1.829691,0.737154,-19.089603,0.300670
0.020000,10.455208,19.287627,8.671491,1.834998,0.265378,-23.588829,0.270119
0.020000,10.490614,19.296893,8.708090,1.829954,-0.252204,-25.879073,0.242171
0.020000,10.525951,19.305138,8.744375,1.814289,-0.783285,-26.554056,0.216642
0.020000,10.560967,19.312413,8.780139,1.788177,-1.305557,-26.113591,0.193350
0.020000,10.595426,19.318777,8.815181,1.752086,-1.804567,-24.950512,0.172122
0.020000,10.629110,19.324294,8.849314,1.706652,-2.271708,-23.357057,0.152796
0.020000,10.661820,19.329035,8.882366,1.652601,-2.702543,-21.541745,0.135221
0.020000,10.693377,19.333069,8.914180,1.590692,-3.095478,-19.646738,0.119260
0.020000,10.723620,19.336470,8.944613,1.521676,-3.450780,-17.765116,0.104791
0.020000,10.752406,19.339306,8.973539,1.446279,-3.769859,-15.953955,0.091702
0.020000,10.779610,19.341644,9.000842,1.365183,-4.054774,-14.245751,0.079894
0.020000,10.805119,19.343549,9.026423,1.279025,-4.307894,-12.656020,0.069280
0.020000,10.828838,19.345081,9.050191,1.188392,-4.531669,-11.188731,0.059780
0.020000,10.850719,19.346298,9.072106,1.095760,-4.631598,-4.996428,0.051313
0.020000,10.870780,19.347252,9.092189,1.004159,-4.580045,2.577628,0.043786
0.020000,10.889058,19.347991,9.110483,0.914681,-4.473913,5.306618,0.037114
0.020000,10.905605,19.348557,9.127039,0.827834,-4.342324,6.579421,0.031221
0.020000,10.920480,19.348983,9.141921,0.744056,-4.188928,7.669811,0.026037
0.020000,10.933751,19.349298,9.155195,0.663718,-4.016885,8.602163,0.021500
0.020000,10.945491,19.349527,9.166938,0.587139,-3.828944,9.397028,0.017552
0.020000,10.955782,19.349690,9.177229,0.514589,-3.627489,10.072740,0.014143
0.020000,10.964707,19.349803,9.186155,0.446298,-3.414599,10.644524,0.011223
0.020000,10.972356,19.349880,9.193805,0.382456,-3.192076,11.126150,0.008747
0.020000,10.978820,19.349930,9.200269,0.323226,-2.961504,11.528623,0.006674
0.020000,10.984195,19.349961,9.205644,0.268741,-2.724248,11.862752,0.004963
0.020000,10.988577,19.349980,9.210026,0.219110,-2.481525,12.136181,0.003577
0.020000,10.992066,19.349990,9.213515,0.174423,-2.234369,12.357800,0.002479
0.020000,10.994761,19.349996,9.216210,0.134749,-1.983702,12.533365,0.001634
0.020000,10.996763,19.349998,9.218212,0.100143,-1.730303,12.669930,0.001008
0.020000,10.998176,19.349999,9.219625,0.070646,-1.474856,12.772329,0.000568
0.020000,10.999102,19.350000,9.220551,0.046287,-1.217928,12.846423,0.000279
0.020000,10.999644,19.350000,9.221093,0.027087,-0.959992,12.896817,0.000111
0.020000,10.999905,19.350000,9.221354,0.013059,-0.701427,12.928246,0.000030
0.020000,10.999989,19.350000,9.221438,0.004209,-0.442521,12.945296,0.000003
0.020000,11.000000,19.350000,9.221449,0.000539,-0.183465,12.952774,6.283185
0.020000,11.000000,19.350000,9.221449,0.000000,-0.026962,7.825186,6.283185
