dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.000011,20.650000,-0.000071,-0.007101,-0.355047,-17.752354,3.141583
0.020000,10.999672,20.650000,-0.00041,-0.016964,-0.493138,-6.904571,3.141662
0.020000,10.998828,20.650000,-0.001254,-0.042199,-1.261775,-38.431849,3.141840
0.020000,10.997328,20.649999,-0.002755,-0.07503,-1.641526,-18.987516,3.142157
0.020000,10.994982,20.649997,-0.0051,-0.117257,-2.111356,-23.491512,3.142652
0.020000,10.991605,20.649993,-0.008478,-0.168899,-2.582099,-23.537161,3.143367
0.020000,10.987005,20.649982,-0.013078,-0.229983,-3.054213,-23.605672,3.144341
0.020000,10.980994,20.649962,-0.019089,-0.300548,-3.528236,-23.701178,3.145616
0.020000,10.973381,20.649925,-0.026701,-0.380644,-4.004806,-23.828483,3.147234
0.020000,10.963975,20.649863,-0.036108,-0.470337,-4.484661,-23.992742,3.149240
0.020000,10.952581,20.649762,-0.047502,-0.56971,-4.968636,-24.198754,3.151676
0.020000,10.939005,20.649605,-0.06108,-0.678864,-5.457682,-24.452303,3.154591
0.020000,10.923048,20.649370,-0.077038,-0.797921,-5.952851,-24.75846,3.158032
0.020000,10.904510,20.649028,-0.095579,-0.927027,-6.455324,-25.12362,3.162052
0.020000,10.883189,20.648542,-0.116906,-1.066355,-6.966395,-25.553553,3.166704
0.020000,10.858876,20.647867,-0.141228,-1.216105,-7.487488,-26.054652,3.172047
0.020000,10.831361,20.646945,-0.168758,-1.376508,-8.020155,-26.633347,3.178141
0.020000,10.800430,20.645707,-0.199715,-1.547829,-8.566072,-27.295861,3.185054
0.020000,10.765861,20.644068,-0.234322,-1.73037,-9.12703,-28.047907,3.192856
0.020000,10.727431,20.641928,-0.272811,-1.924468,-9.70491,-28.894012,3.201627
0.020000,10.684911,20.639163,-0.315421,-2.130501,-10.30165,-29.836991,3.211448
0.020000,10.638067,20.635628,-0.362399,-2.348885,-10.919181,-30.876566,3.222413
0.020000,10.586757,20.631158,-0.413903,-2.575181,-11.314834,-19.782658,3.234596
0.020000,10.530939,20.625573,-0.47,-2.804847,-11.483295,-8.423008,3.248057
0.020000,10.470570,20.618670,-0.530762,-3.038137,-11.664491,-9.059799,3.262859
0.020000,10.405611,20.610221,-0.596268,-3.27527,-11.856635,-9.607233,3.279067
0.020000,10.336034,20.599969,-0.666596,-3.516411,-12.057056,-10.021036,3.296753
0.020000,10.261820,20.587630,-0.741829,-3.761649,-12.261933,-10.243833,3.315987
0.020000,10.182967,20.572891,-0.822048,-4.01097,-12.466005,-10.203592,3.336840
0.020000,10.099494,20.555406,-0.907333,-4.264215,-12.662255,-9.812532,3.359381
0.020000,10.011452,20.534800,-0.997754,-4.521047,-12.841608,-8.967629,3.383673
0.020000,9.918928,20.510672,-1.093372,-4.7809,-12.992673,-7.553266,3.409766
0.020000,9.822057,20.482595,-1.19423,-5.042933,-13.101613,-5.446994,3.437701
0.020000,9.721027,20.450124,-1.30035,-5.305978,-13.152248,-2.53177,3.467494
0.020000,9.616095,20.412806,-1.41172,-5.568507,-13.126484,1.288228,3.499137
0.020000,9.507592,20.370191,-1.528292,-5.828611,-13.005208,6.063774,3.532586
0.020000,9.395927,20.321848,-1.649972,-6.084007,-12.76976,11.772439,3.567762
0.020000,9.281594,20.267386,-1.776614,-6.332085,-12.403948,18.290601,3.604535
0.020000,9.165167,20.206470,-1.908014,-6.570016,-11.896544,25.370179,3.642731
0.020000,9.047289,20.138845,-2.043912,-6.794895,-11.24391,32.631697,3.682121
0.020000,8.928660,20.064352,-2.183991,-7.00394,-10.452287,39.581161,3.722430
0.020000,8.810008,19.982944,-2.327885,-7.194723,-9.539129,45.657908,3.763341
0.020000,8.692065,19.894689,-2.475193,-7.365382,-8.532939,50.309486,3.804504
0.020000,8.575532,19.799773,-2.625489,-7.514807,-7.471284,53.082752,3.845548
0.020000,8.461053,19.698485,-2.778344,-7.64275,-6.397134,53.707478,3.886101
0.020000,8.349257,19.591272,-2.933241,-7.744841,-5.104573,64.62807,3.925773
0.020000,8.240717,19.478723,-3.0896,-7.81794,-3.654906,72.483358,3.964185
0.020000,8.135863,19.361472,-3.246897,-7.864848,-2.345403,65.475159,4.001004
0.020000,8.034978,19.240164,-3.404673,-7.888814,-1.198342,57.353042,4.035954
0.020000,7.938211,19.115435,-3.562538,-7.893234,-0.220982,48.867972,4.068819
0.020000,7.845591,18.987888,-3.720165,-7.881384,0.592508,40.67451,4.099440
0.020000,7.757050,18.858086,-3.87729,-7.856228,1.257797,33.264439,4.127708
0.020000,7.672443,18.726540,-4.033696,-7.820294,1.796717,26.946023,4.153559
0.020000,7.591565,18.593713,-4.189208,-7.775616,2.233903,21.859288,4.176966
0.020000,7.514174,18.460024,-4.343683,-7.723733,2.594133,18.011502,4.197926
0.020000,7.439998,18.325847,-4.496997,-7.665722,2.900531,15.319904,4.216457
0.020000,7.368753,18.191527,-4.649042,-7.602252,3.173534,13.650142,4.232586
0.020000,7.300148,18.057379,-4.799715,-7.533642,3.430486,12.84762,4.246349
0.020000,7.233893,17.923699,-4.948914,-7.459929,3.685648,12.758104,4.257780
0.020000,7.169702,17.790768,-5.096532,-7.38092,3.950464,13.240786,4.266910
0.020000,7.107300,17.658858,-5.242457,-7.296241,4.233944,14.173973,4.273765
0.020000,7.046423,17.528241,-5.386565,-7.205379,4.543073,15.456454,4.278360
0.020000,6.986817,17.399186,-5.528719,-7.107716,4.883187,17.005731,4.280701
0.020000,6.928248,17.271970,-5.66877,-7.00255,5.258275,18.754369,4.280780
0.020000,6.870496,17.146876,-5.806552,-6.889127,5.671181,20.645293,4.278578
0.020000,6.813359,17.024196,-5.941885,-6.766652,6.123705,22.626235,4.274061
0.020000,6.756672,16.904271,-6.074533,-6.632374,6.713897,29.509591,4.267184
0.020000,6.700295,16.787450,-6.204246,-6.485664,7.3355,31.080144,4.257889
0.020000,6.644093,16.674057,-6.330803,-6.327813,7.892568,27.853426,4.246107
0.020000,6.587962,16.564428,-6.453966,-6.158174,8.481973,29.470233,4.231757
0.020000,6.531830,16.458904,-6.573491,-5.976243,9.096516,30.727152,4.214747
