dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.999989,18.350000,-0.000071,-0.007101,-0.355047,-17.752354,3.141583
0.020000,10.999831,18.350000,-0.000228,-0.007859,-0.037921,15.856307,3.141662
0.020000,10.999397,18.350000,-0.000662,-0.021709,-0.692495,-32.728681,3.141840
0.020000,10.998625,18.350000,-0.001434,-0.038585,-0.843803,-7.565402,3.142157
0.020000,10.997420,18.349999,-0.002639,-0.060267,-1.08407,-12.013374,3.142652
0.020000,10.995685,18.349996,-0.004374,-0.086735,-1.323417,-11.967348,3.143367
0.020000,10.993326,18.349991,-0.006733,-0.117963,-1.561398,-11.899053,3.144341
0.020000,10.990248,18.349980,-0.009812,-0.153912,-1.79747,-11.803571,3.145616
0.020000,10.986357,18.349962,-0.013702,-0.194532,-2.030992,-11.676147,3.147234
0.020000,10.981562,18.349930,-0.018497,-0.239757,-2.261232,-11.511972,3.149240
0.020000,10.975772,18.349878,-0.024287,-0.289504,-2.487347,-11.305757,3.151676
0.020000,10.968899,18.349799,-0.031161,-0.343672,-2.708394,-11.052371,3.154591
0.020000,10.960858,18.349681,-0.039204,-0.402138,-2.923313,-10.745937,3.158032
0.020000,10.951564,18.349509,-0.048499,-0.464757,-3.13093,-10.380843,3.162052
0.020000,10.940940,18.349267,-0.059126,-0.531356,-3.329946,-9.950787,3.166704
0.020000,10.928910,18.348933,-0.071161,-0.601734,-3.518936,-9.449494,3.172047
0.020000,10.915404,18.348481,-0.084674,-0.675661,-3.696348,-8.870601,3.178141
0.020000,10.900359,18.347878,-0.099731,-0.752871,-3.860505,-8.20787,3.185054
0.020000,10.883716,18.347090,-0.116393,-0.833064,-4.009617,-7.455572,3.192856
0.020000,10.865426,18.346071,-0.134711,-0.9159,-4.141796,-6.60899,3.201627
0.020000,10.845449,18.344772,-0.154731,-1.001002,-4.255105,-5.665415,3.211448
0.020000,10.823751,18.343135,-0.17649,-1.087954,-4.347611,-4.625307,3.222413
0.020000,10.800358,18.341098,-0.199971,-1.174093,-4.306941,2.033506,3.234596
0.020000,10.775345,18.338596,-0.225109,-1.256861,-4.138401,8.426968,3.248057
0.020000,10.748798,18.335561,-0.251829,-1.336003,-3.957117,9.064195,3.262859
0.020000,10.720808,18.331921,-0.280055,-1.4113,-3.764867,9.612496,3.279067
0.020000,10.691473,18.327600,-0.309707,-1.482587,-3.564323,10.027241,3.296753
0.020000,10.660897,18.322517,-0.340702,-1.549773,-3.359302,10.251028,3.315987
0.020000,10.629188,18.316592,-0.372959,-1.612874,-3.155066,10.211825,3.336840
0.020000,10.596457,18.309737,-0.4064,-1.672047,-2.958627,9.821906,3.359381
0.020000,10.562814,18.301865,-0.440953,-1.727628,-2.779065,8.978119,3.383673
0.020000,10.528362,18.292883,-0.476557,-1.780184,-2.627773,7.564589,3.409766
0.020000,10.493197,18.282693,-0.513168,-1.830555,-2.51859,5.45916,3.437701
0.020000,10.457402,18.271190,-0.550766,-1.879909,-2.467708,2.544106,3.467494
0.020000,10.421037,18.258260,-0.589361,-1.929774,-2.493235,-1.276347,3.499137
0.020000,10.384139,18.243770,-0.629003,-1.98206,-2.614296,-6.053063,3.532586
0.020000,10.346714,18.227569,-0.669784,-2.039052,-2.849579,-11.764131,3.567762
0.020000,10.308735,18.209479,-0.711851,-2.103358,-3.215296,-18.285872,3.604535
0.020000,10.270142,18.189287,-0.755407,-2.177812,-3.722704,-25.370364,3.642731
0.020000,10.230844,18.166740,-0.800713,-2.265321,-4.375461,-32.637869,3.682121
0.020000,10.190726,18.141545,-0.848087,-2.368668,-5.167344,-39.594135,3.722430
0.020000,10.149660,18.113363,-0.897892,-2.490286,-6.080899,-45.677749,3.763341
0.020000,10.107517,18.081820,-0.950533,-2.632038,-7.087613,-50.33574,3.804504
0.020000,10.064179,18.046511,-1.006434,-2.795036,-8.149894,-53.114008,3.845548
0.020000,10.019556,18.007016,-1.066025,-2.97953,-9.22473,-53.741799,3.886101
0.020000,9.973621,17.962948,-1.12968,-3.182791,-10.163014,-46.914202,3.925773
0.020000,9.926415,17.913979,-1.197698,-3.400858,-10.903372,-37.017933,3.964185
0.020000,9.878017,17.859839,-1.270316,-3.630927,-11.503454,-30.004068,4.001004
0.020000,9.828540,17.800325,-1.347711,-3.869746,-11.940944,-21.874542,4.035954
0.020000,9.778116,17.735308,-1.429989,-4.113918,-12.208571,-13.381325,4.068819
0.020000,9.726887,17.664739,-1.517193,-4.360161,-12.312169,-5.179899,4.099440
0.020000,9.674993,17.588639,-1.609303,-4.605509,-12.267423,2.237305,4.127708
0.020000,9.622558,17.507093,-1.706251,-4.847433,-12.096191,8.561586,4.153559
0.020000,9.569687,17.420243,-1.807929,-5.083896,-11.823133,13.652903,4.176966
0.020000,9.516456,17.328269,-1.914197,-5.313357,-11.473056,17.503872,4.197926
0.020000,9.462907,17.231389,-2.024891,-5.534739,-11.069102,20.197669,4.216457
0.020000,9.409051,17.129838,-2.139839,-5.747374,-10.63173,21.868605,4.232586
0.020000,9.354864,17.023870,-2.258858,-5.95094,-10.178295,22.671774,4.246349
0.020000,9.300288,16.913743,-2.381766,-6.145401,-9.723066,22.761434,4.257780
0.020000,9.245233,16.799721,-2.508385,-6.330951,-9.277492,22.278688,4.266910
0.020000,9.189575,16.682061,-2.638544,-6.507962,-8.850585,21.345344,4.273765
0.020000,9.133164,16.561022,-2.772083,-6.676949,-8.449331,20.062723,4.278360
0.020000,9.075817,16.436855,-2.908853,-6.83853,-8.079062,18.513431,4.280701
0.020000,9.017324,16.309805,-3.048722,-6.993406,-7.743763,16.764955,4.280780
0.020000,8.957448,16.180113,-3.191568,-7.142331,-7.446274,14.874439,4.278578
0.020000,8.895923,16.048016,-3.33729,-7.286099,-7.188391,12.894172,4.274061
0.020000,8.832474,15.913791,-3.485756,-7.423294,-6.859737,16.432672,4.267184
0.020000,8.766801,15.777720,-3.636847,-7.554543,-6.562473,14.863207,4.257889
0.020000,8.698559,15.640051,-3.790501,-7.682724,-6.409065,7.670426,4.246107
0.020000,8.627378,15.501046,-3.946671,-7.808484,-6.28796,6.055261,4.231757
0.020000,8.552865,15.360988,-4.105317,-7.932323,-6.191958,4.800087,4.214747
0.020000,8.474602,15.220186,-4.266408,-8.054529,-6.110293,4.083224,4.194983
0.020000,8.392158,15.078992,-4.42991,-8.175081,-6.027643,4.132524,4.172370
0.020000,8.305096,14.937806,-4.595781,-8.293543,-5.923089,5.227688,4.146821
0.020000,8.212983,14.797097,-4.763959,-8.408928,-5.769232,7.692881,4.118266
0.020000,8.115412,14.657407,-4.93435,-8.519563,-5.53176,11.873574,4.086663
0.020000,8.012029,14.519370,-5.10681,-8.622962,-5.169966,18.089707,4.052015
0.020000,7.902560,14.383716,-5.281124,-8.715737,-4.63875,26.560772,4.014382
0.020000,7.786852,14.251268,-5.456996,-8.793591,-3.892695,37.302754,3.973902
0.020000,7.664912,14.122933,-5.634025,-8.85144,-2.892442,50.012646,3.930797
0.020000,7.536947,13.999673,-5.811699,-8.8837,-1.612984,63.972908,3.885391
0.020000,7.403389,13.882464,-5.989394,-8.884749,-0.052474,78.025503,3.838102
0.020000,7.264913,13.772237,-6.166385,-8.849532,1.760852,90.666307,3.789438
0.020000,7.122417,13.669818,-6.341869,-8.774203,3.766482,100.281515,3.739974
0.020000,6.976994,13.575864,-6.515002,-8.656677,5.876269,105.489363,3.690320
0.020000,6.829868,13.490815,-6.684941,-8.496958,7.98598,105.485542,3.641087
0.020000,6.682325,13.414868,-6.850884,-8.297133,9.991226,100.262306,3.592850
0.020000,6.535638,13.347972,-7.012105,-8.061065,11.803424,90.609893,3.546115
0.020000,6.390943,13.289832,-7.168044,-7.79694,13.206207,70.139118,3.501284
0.020000,6.249151,13.239945,-7.318356,-7.515584,14.067825,43.080896,3.458630
0.020000,6.110980,13.197684,-7.462845,-7.224467,14.555838,24.40066,3.418324
0.020000,5.976991,13.162366,-7.601411,-6.928277,14.809507,12.683488,3.380454
0.020000,5.847601,13.133285,-7.734029,-6.630917,14.868025,2.925894,3.345039
0.020000,5.723098,13.109743,-7.860738,-6.335443,14.773665,-4.718,3.312047
0.020000,5.603666,13.091074,-7.98162,-6.044108,14.566771,-10.344729,3.281406
0.020000,5.489404,13.076652,-8.096789,-5.758452,14.282791,-14.198989,3.253017
0.020000,5.380343,13.065904,-8.206378,-5.479432,13.950975,-16.59078,3.226764
0.020000,5.276470,13.058308,-8.310529,-5.207547,13.594258,-17.835859,3.202523
0.020000,5.177733,13.053397,-8.409388,-4.942951,13.229814,-18.222211,3.180167
0.020000,5.084059,13.050752,-8.503099,-4.685552,12.869942,-17.993599,3.159571
0.020000,4.996493,13.050000,-8.590668,-4.378456,15.354803,124.243049,3.141593
0.020000,4.932715,13.050000,-8.654446,-3.188931,59.476276,2206.07364,3.141593
0.020000,4.872060,13.050000,-8.715101,-3.03271,7.811036,-2583.262009,3.141593
