dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.229984,13.900000,0.000070,0.006981,0.349030,17.451525,0.000014
0.020000,3.230280,13.900000,0.000366,0.014793,0.390605,2.078750,6.283134
0.020000,3.231077,13.900000,0.001163,0.039855,1.253117,43.125585,6.282987
0.020000,3.232494,13.899999,0.002580,0.070860,1.550251,14.856666,6.282726
0.020000,3.234709,13.899998,0.004795,0.110736,1.993789,22.176935,6.282317
0.020000,3.237899,13.899994,0.007985,0.159496,2.438015,22.211308,6.281729
0.020000,3.242242,13.899986,0.012328,0.217161,2.883253,22.261883,6.280926
0.020000,3.247917,13.899970,0.018003,0.283760,3.329918,22.333268,6.279876
0.020000,3.255104,13.899942,0.025190,0.359329,3.778482,22.428168,6.278544
0.020000,3.263982,13.899893,0.034068,0.443919,4.229493,22.550550,6.276894
0.020000,3.274734,13.899815,0.044820,0.537591,4.683584,22.704567,6.274889
0.020000,3.287542,13.899693,0.057628,0.640420,5.141461,22.893857,6.272492
0.020000,3.302590,13.899511,0.072678,0.752499,5.603926,23.123253,6.269664
0.020000,3.320067,13.899246,0.090157,0.873936,6.071868,23.397064,6.266362
0.020000,3.340161,13.898870,0.110254,1.004861,6.546281,23.720693,6.262544
0.020000,3.363063,13.898347,0.133163,1.145427,7.028254,24.098640,6.258163
0.020000,3.388970,13.897634,0.159079,1.295807,7.519015,24.538033,6.253170
0.020000,3.418078,13.896677,0.188203,1.456204,8.019878,25.043137,6.247512
0.020000,3.450591,13.895413,0.220740,1.626851,8.532314,25.621811,6.241132
0.020000,3.486713,13.893764,0.256900,1.808009,9.057900,26.279292,6.233968
0.020000,3.526656,13.891636,0.296900,1.999976,9.598342,27.022127,6.225955
0.020000,3.570634,13.888920,0.340961,2.203085,10.155456,27.855692,6.217020
0.020000,3.618866,13.885484,0.389315,2.417708,10.731146,28.784498,6.207083
0.020000,3.671575,13.881173,0.442201,2.644254,11.327340,29.809722,6.196060
0.020000,3.728988,13.875806,0.499864,2.883173,11.945947,30.930301,6.183855
0.020000,3.791242,13.869179,0.562470,3.130297,12.356204,20.512852,6.170388
0.020000,3.858382,13.861072,0.630097,3.381350,12.552646,9.822098,6.155590
0.020000,3.930445,13.851234,0.702829,3.636611,12.763043,10.519881,6.139387
0.020000,4.007466,13.839388,0.780756,3.896318,12.985319,11.113769,6.121702
0.020000,4.089464,13.825222,0.863968,4.160643,13.216290,11.548572,6.102456
0.020000,4.176444,13.808391,0.952562,4.429670,13.451332,11.752121,6.081565
0.020000,4.268388,13.788515,1.046629,4.703350,13.684000,11.633395,6.058949
0.020000,4.365246,13.765181,1.146258,4.981463,13.905640,11.081982,6.034531
0.020000,4.466931,13.737939,1.251529,5.263563,14.105003,9.968143,6.008242
0.020000,4.573307,13.706310,1.362508,5.548922,14.267946,8.147152,5.980024
0.020000,4.684176,13.669789,1.479237,5.836469,14.377345,5.469985,5.949840
0.020000,4.799270,13.627856,1.601732,6.124735,14.413309,1.798157,5.917677
0.020000,4.918237,13.579989,1.729968,6.411813,14.353914,-2.969711,5.883556
0.020000,5.040636,13.525679,1.863875,6.695345,14.176580,-8.866723,5.847537
0.020000,5.165928,13.464455,2.003326,6.972549,13.860212,-15.818422,5.809732
0.020000,5.293480,13.395902,2.148132,7.240310,13.388036,-23.608797,5.770305
0.020000,5.422569,13.319693,2.298039,7.495328,12.750903,-31.856647,5.729476
0.020000,5.552406,13.235606,2.452725,7.734337,11.950471,-40.021573,5.687525
0.020000,5.682153,13.143550,2.611813,7.954369,11.001584,-47.444350,5.644781
0.020000,5.810965,13.043569,2.774873,8.153028,9.932943,-53.432068,5.601618
0.020000,5.937945,12.935911,2.941349,8.323793,8.538283,-69.733007,5.558458
0.020000,6.062207,12.821031,3.110578,8.461439,6.882268,-82.800738,5.515758
0.020000,6.182992,12.699505,3.281919,8.567035,5.279810,-80.122912,5.473953
0.020000,6.299694,12.571992,3.454774,8.642753,3.785906,-74.695179,5.433442
0.020000,6.411873,12.439201,3.628606,8.691603,2.442497,-67.170448,5.394571
0.020000,6.519251,12.301851,3.802948,8.717102,1.274973,-58.376204,5.357625
0.020000,6.621701,12.160642,3.977407,8.722938,0.291783,-49.159487,5.322824
0.020000,6.719227,12.016236,4.151660,8.712671,-0.513375,-40.257902,5.290327
0.020000,6.811938,11.869241,4.325450,8.689515,-1.157804,-32.221452,5.260237
0.020000,6.900031,11.720205,4.498574,8.656203,-1.665586,-25.389094,5.232609
0.020000,6.983760,11.569619,4.670873,8.614928,-2.063739,-19.907649,5.207460
0.020000,7.063421,11.417916,4.842220,8.567343,-2.379229,-15.774524,5.184778
0.020000,7.139338,11.265482,5.012512,8.514604,-2.636981,-12.887608,5.164532
0.020000,7.211849,11.112664,5.181660,8.457428,-2.858781,-11.089990,5.146676
0.020000,7.281293,10.959772,5.349584,8.396171,-3.062884,-10.205135,5.131162
0.020000,7.348011,10.807096,5.516202,8.330889,-3.264090,-10.060317,5.117936
0.020000,7.412335,10.654902,5.681430,8.261407,-3.474095,-10.500241,5.106951
0.020000,7.474589,10.503451,5.845177,8.187368,-3.701962,-11.393376,5.098164
0.020000,7.535084,10.352991,6.007343,8.108275,-3.954623,-12.633038,5.091542
0.020000,7.594120,10.203775,6.167813,8.023528,-4.237333,-14.135487,5.087062
0.020000,7.651981,10.056054,6.326462,7.932447,-4.554062,-15.836461,5.084713
0.020000,7.708938,9.910087,6.483148,7.834291,-4.907796,-17.686672,5.084495
0.020000,7.765248,9.766143,6.637713,7.728277,-5.300739,-19.647178,5.086424
0.020000,7.821148,9.624504,6.789984,7.613540,-5.736834,-21.804740,5.090530
0.020000,7.876835,9.485527,6.939703,7.485953,-6.379355,-32.126028,5.096854
0.020000,7.932488,9.349578,7.086603,7.344969,-7.049185,-33.491526,5.105445
0.020000,7.988287,9.216975,7.230467,7.193215,-7.587709,-26.926188,5.116369
0.020000,8.044385,9.088052,7.371066,7.029961,-8.162674,-28.748280,5.129706
0.020000,8.100909,8.963156,7.508158,6.854578,-8.769193,-30.325923,5.145545
0.020000,8.157955,8.842644,7.641489,6.666584,-9.399673,-31.524014,5.163983
0.020000,8.215581,8.726879,7.770804,6.465726,-10.042922,-32.162426,5.185124
0.020000,8.273810,8.616223,7.895845,6.252064,-10.683106,-32.009238,5.209067
0.020000,8.332621,8.511025,8.016367,6.026090,-11.298685,-30.778932,5.235906
0.020000,8.391954,8.411607,8.132144,5.788860,-11.861507,-28.141078,5.265715
0.020000,8.451709,8.318250,8.242987,5.542131,-12.336411,-23.745197,5.298538
0.020000,8.511752,8.231175,8.348757,5.288495,-12.681822,-17.270583,5.334374
0.020000,8.571925,8.150519,8.449386,5.031457,-12.851924,-8.505088,5.373160
0.020000,8.632067,8.076323,8.544895,4.775437,-12.800962,2.548114,5.414758
0.020000,8.692025,8.008518,8.635407,4.525639,-12.489915,15.552334,5.458937
0.020000,8.751684,7.946917,8.721162,4.287738,-11.895051,29.743195,5.505370
0.020000,8.810982,7.891228,8.802510,4.067401,-11.016853,43.909885,5.553630
0.020000,8.869923,7.841071,8.879904,3.869665,-9.886790,56.503162,5.603202
0.020000,8.928579,7.796012,8.953869,3.698285,-8.569024,65.888287,5.653507
0.020000,8.987078,7.755594,9.024973,3.555184,-7.155034,70.699517,5.703933
0.020000,9.045578,7.719377,9.093776,3.440158,-5.751294,70.186996,5.753868
0.020000,9.104235,7.686961,9.160794,3.350901,-4.462830,64.423208,5.802744
0.020000,9.163172,7.658003,9.226461,3.283357,-3.377201,54.281474,5.850063
0.020000,9.222451,7.632215,9.291107,3.232292,-2.553282,41.195932,5.895415
0.020000,9.282061,7.609364,9.354947,3.191976,-2.015778,26.875178,5.938493
