dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.230014,11.600000,0.000070,0.006970,0.348482,17.424113,0.000012
0.020000,3.230164,11.600000,0.000220,0.007525,0.027761,-16.036055,6.283126
0.020000,3.230608,11.600000,0.000664,0.022199,0.733683,35.296107,6.282967
0.020000,3.231397,11.600000,0.001453,0.039457,0.862937,6.462697,6.282684
0.020000,3.232630,11.599999,0.002686,0.061635,1.108871,12.296709,6.282240
0.020000,3.234404,11.599997,0.004460,0.088717,1.354109,12.261872,6.281601
0.020000,3.236818,11.599992,0.006874,0.120683,1.598311,12.210108,6.280731
0.020000,3.239968,11.599982,0.010024,0.157505,1.841071,12.138020,6.279591
0.020000,3.243951,11.599965,0.014007,0.199143,2.081907,12.041771,6.278145
0.020000,3.248862,11.599936,0.018918,0.245548,2.320266,11.917956,6.276355
0.020000,3.254795,11.599889,0.024851,0.296658,2.555523,11.762826,6.274181
0.020000,3.261842,11.599816,0.031899,0.352398,2.786970,11.572398,6.271583
0.020000,3.270095,11.599708,0.040153,0.412674,3.013828,11.342893,6.268517
0.020000,3.279641,11.599551,0.049700,0.477379,3.235232,11.070181,6.264941
0.020000,3.290567,11.599329,0.060628,0.546384,3.450231,10.749932,6.260807
0.020000,3.302954,11.599022,0.073019,0.619540,3.657793,10.378113,6.256066
0.020000,3.316881,11.598607,0.086952,0.696676,3.856802,9.950446,6.250667
0.020000,3.332423,11.598054,0.102504,0.777597,4.046060,9.462919,6.244555
0.020000,3.349650,11.597329,0.119746,0.862083,4.224296,8.911796,6.237669
0.020000,3.368624,11.596391,0.138743,0.949886,4.390188,8.294600,6.229946
0.020000,3.389404,11.595194,0.159558,1.040734,4.542373,7.609268,6.221319
0.020000,3.412041,11.593683,0.182245,1.134324,4.679504,6.856552,6.211713
0.020000,3.436575,11.591796,0.206851,1.230330,4.800293,6.039413,6.201050
0.020000,3.463040,11.589461,0.233419,1.328402,4.903608,5.165783,6.189244
0.020000,3.491414,11.586602,0.261937,1.425900,4.874891,-1.435883,6.176225
0.020000,3.521622,11.583141,0.292343,1.520292,4.719630,-7.763026,6.161938
0.020000,3.553583,11.578995,0.324571,1.611421,4.556413,-8.160873,6.146327
0.020000,3.587208,11.574074,0.358555,1.699177,4.387830,-8.429133,6.129333
0.020000,3.622406,11.568285,0.394226,1.783526,4.217428,-8.520115,6.110897
0.020000,3.659079,11.561528,0.431516,1.864524,4.049919,-8.375453,6.090961
0.020000,3.697129,11.553699,0.470363,1.942352,3.891402,-7.925851,6.069469
0.020000,3.736457,11.544690,0.510710,2.017344,3.749562,-7.091999,6.046373
0.020000,3.776967,11.534384,0.552510,2.090020,3.633827,-5.786720,6.021631
0.020000,3.818570,11.522660,0.595733,2.161128,3.555405,-3.921114,5.995218
0.020000,3.861184,11.509387,0.640366,2.231672,3.527173,-1.411620,5.967122
0.020000,3.904744,11.494423,0.686425,2.302938,3.563299,1.806318,5.937357
0.020000,3.949203,11.477614,0.733955,2.376509,3.678563,5.763199,5.905963
0.020000,3.994533,11.458786,0.783040,2.454255,3.887291,10.436414,5.873012
0.020000,4.040733,11.437745,0.833806,2.538293,4.201918,15.731325,5.838613
0.020000,4.087825,11.414271,0.886425,2.630918,4.631252,21.466735,5.802917
0.020000,4.135854,11.388113,0.941114,2.734491,5.178654,27.370101,5.766113
0.020000,4.184883,11.358991,0.998140,2.851299,5.840404,33.087481,5.728431
0.020000,4.234988,11.326591,1.057808,2.983393,6.604668,38.213185,5.690138
0.020000,4.286247,11.290573,1.120457,3.132421,7.451404,42.336794,5.651528
0.020000,4.338735,11.250577,1.186446,3.299490,8.353449,45.102276,5.612915
0.020000,4.392475,11.206257,1.256104,3.482901,9.170573,40.856201,5.574643
0.020000,4.447438,11.157309,1.329704,3.679962,9.853037,34.123174,5.537071
0.020000,4.503569,11.103460,1.407488,3.889226,10.463193,30.507823,5.500533
