dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.829984,13.700000,0.000070,0.006953,0.347661,17.383044,0.000014
0.020000,5.830270,13.700000,0.000355,0.014285,0.366571,0.945501,6.283138
0.020000,5.831053,13.700000,0.001138,0.039136,1.242548,43.798861,6.283002
0.020000,5.832444,13.699999,0.002530,0.069583,1.522382,13.991688,6.282759
0.020000,5.834619,13.699998,0.004705,0.108747,1.958165,21.789179,6.282379
0.020000,5.837752,13.699995,0.007837,0.156644,2.394864,21.834912,6.281832
0.020000,5.842018,13.699987,0.012103,0.213302,2.832927,21.903158,6.281085
0.020000,5.847594,13.699973,0.017679,0.278761,3.272911,21.999186,6.280106
0.020000,5.854655,13.699947,0.024740,0.353070,3.715464,22.127679,6.278864
0.020000,5.863381,13.699902,0.033466,0.436297,4.161359,22.294755,6.277322
0.020000,5.873951,13.699831,0.044037,0.528527,4.611489,22.506511,6.275446
0.020000,5.886548,13.699719,0.056634,0.629864,5.066881,22.769597,6.273199
0.020000,5.901356,13.699551,0.071443,0.740439,5.528734,23.092623,6.270540
0.020000,5.918562,13.699307,0.088651,0.860408,5.998423,23.484437,6.267427
0.020000,5.938358,13.698959,0.108450,0.989958,6.477520,23.954889,6.263814
0.020000,5.960939,13.698475,0.131036,1.129316,6.967881,24.518047,6.259653
0.020000,5.986506,13.697812,0.156611,1.278748,7.471620,25.186911,6.254887
0.020000,6.015263,13.696920,0.185383,1.438572,7.991223,25.980187,6.249458
0.020000,6.047425,13.695736,0.217566,1.609164,8.529573,26.917500,6.243300
0.020000,6.083210,13.694184,0.253385,1.790965,9.090064,28.024518,6.236338
0.020000,6.122849,13.692170,0.293075,1.984498,9.676652,29.329439,6.228489
0.020000,6.166580,13.689583,0.336883,2.190379,10.294022,30.868492,6.219659
0.020000,6.214563,13.686293,0.384978,2.404762,10.719146,21.256199,6.209761
0.020000,6.266875,13.682155,0.437453,2.623759,10.949862,11.535811,6.198715
0.020000,6.323602,13.677002,0.494414,2.848040,11.214053,13.209531,6.186429
0.020000,6.384839,13.670639,0.555981,3.078352,11.515616,15.078122,6.172797
0.020000,6.450690,13.662839,0.622292,3.315528,11.858769,17.157652,6.157701
0.020000,6.521263,13.653340,0.693501,3.560487,12.247981,19.460626,6.141005
0.020000,6.596676,13.641838,0.769786,3.814242,12.687726,21.987245,6.122556
0.020000,6.677047,13.627979,0.851344,4.077884,13.182103,24.718864,6.102182
0.020000,6.762496,13.611352,0.938395,4.352569,13.734251,27.607383,6.079691
0.020000,6.853132,13.591480,1.031185,4.639476,14.345363,30.555621,6.054870
0.020000,6.949050,13.567812,1.129980,4.939741,15.013250,33.394348,6.027486
0.020000,7.050310,13.539710,1.235066,5.254346,15.730254,35.850160,5.997291
0.020000,7.156921,13.506448,1.346746,5.583953,16.480319,37.503297,5.964023
0.020000,7.268810,13.467201,1.465319,5.928658,17.235251,37.746589,5.927419
0.020000,7.385790,13.421053,1.591072,6.287661,17.950159,35.745388,5.887231
0.020000,7.507510,13.367013,1.724249,6.658839,18.558924,30.438257,5.843245
0.020000,7.633405,13.304043,1.865014,7.038259,18.970969,20.602219,5.795319
0.020000,7.762646,13.231121,2.013408,7.419701,19.072103,5.056732,5.743417
0.020000,7.894093,13.147320,2.169295,7.794359,18.732915,-16.959395,5.687656
0.020000,8.026284,13.051923,2.332314,8.150927,17.828389,-45.226338,5.628351
0.020000,8.157466,12.944544,2.501840,8.476318,16.269540,-77.942447,5.566045
0.020000,8.285686,12.825234,2.676983,8.757153,14.041766,-111.388668,5.501512
0.020000,8.408943,12.694554,2.856621,8.981878,11.236268,-140.274894,5.435730
0.020000,8.525305,12.553648,3.039363,9.137119,7.762032,-173.711797,5.369847
0.020000,8.633134,12.404164,3.223679,9.215806,3.934367,-191.383262,5.305075
0.020000,8.731310,12.247987,3.408151,9.223597,0.389554,-177.240646,5.242528
0.020000,8.819281,12.087028,3.591581,9.171498,-2.604949,-149.725142,5.183126
0.020000,8.897014,11.923050,3.773051,9.073486,-4.900600,-114.782581,5.127549
0.020000,8.964889,11.757548,3.951930,8.943978,-6.475406,-78.740278,5.076222
0.020000,9.023571,11.591706,4.127848,8.795869,-7.405487,-46.504079,5.029348
0.020000,9.073882,11.426405,4.300636,8.639440,-7.821450,-20.798117,4.986952
0.020000,9.116715,11.262260,4.470278,8.482070,-7.868454,-2.350235,4.948926
0.020000,9.152956,11.099680,4.636847,8.328480,-7.679502,9.447628,4.915086
0.020000,9.183453,10.938923,4.800472,8.181229,-7.362578,15.846202,4.885199
0.020000,9.208989,10.780138,4.961297,8.041270,-6.997955,18.231152,4.859017
0.020000,9.230280,10.623408,5.119466,7.908448,-6.641101,17.842699,4.836294
0.020000,9.247973,10.468779,5.275104,7.781891,-6.327819,15.664093,4.816801
0.020000,9.262651,10.316278,5.428310,7.660301,-6.079537,12.414118,4.800331
0.020000,9.274843,10.165929,5.579153,7.542143,-5.907863,8.583673,4.786702
0.020000,9.285029,10.017763,5.727669,7.425781,-5.818112,4.487542,4.775762
0.020000,9.293647,9.871826,5.873860,7.309544,-5.811869,0.312187,4.767388
0.020000,9.301102,9.728184,6.017695,7.191768,-5.888769,-3.845024,4.761486
0.020000,9.307768,9.586925,6.159111,7.070814,-6.047696,-7.946358,4.757989
0.020000,9.313995,9.448167,6.298009,6.944910,-6.295201,-12.375262,4.756861
0.020000,9.320106,9.312123,6.434191,6.809056,-6.792744,-24.877134,4.758091
0.020000,9.326405,9.179030,6.567432,6.662079,-7.348835,-27.804531,4.761690
0.020000,9.333180,9.049088,6.697550,6.505917,-7.808068,-22.961683,4.767696
0.020000,9.340696,8.922532,6.824330,6.338952,-8.348282,-27.010665,4.776178
0.020000,9.349197,8.799635,6.947520,6.159540,-8.970600,-31.115899,4.787231
0.020000,9.358905,8.680710,7.066841,5.966017,-9.676139,-35.276976,4.800978
0.020000,9.370009,8.566113,7.181975,5.756713,-10.465221,-39.454091,4.817574
0.020000,9.382663,8.456239,7.292575,5.529990,-11.336155,-43.546719,4.837200
0.020000,9.396979,8.351527,7.398261,5.284321,-12.283430,-47.363745,4.860065
0.020000,9.413011,8.252447,7.498629,5.018419,-13.295105,-50.583759,4.886400
0.020000,9.430749,8.159496,7.593258,4.731434,-14.349238,-52.706606,4.916450
0.020000,9.450099,8.073173,7.681723,4.423248,-15.409285,-53.002371,4.950463
0.020000,9.470881,7.993956,7.763621,4.094873,-16.418780,-50.474736,4.988670
0.020000,9.492814,7.922257,7.838600,3.748948,-17.296233,-43.872672,5.031254
0.020000,9.515529,7.858369,7.906406,3.390301,-17.932367,-31.806691,5.078317
0.020000,9.538586,7.802404,7.966934,3.026438,-18.193153,-13.039310,5.129827
0.020000,9.561523,7.754230,8.020290,2.667774,-17.933206,12.997342,5.185574
0.020000,9.583919,7.713426,8.066836,2.327310,-17.023172,45.501715,5.245121
0.020000,9.605479,7.679272,8.107226,2.019507,-15.390135,81.651845,5.307779
0.020000,9.626110,7.650794,8.142392,1.758285,-13.061132,116.450165,5.372617
0.020000,9.645960,7.626866,8.173481,1.554475,-10.190472,143.532994,5.438515
0.020000,9.665408,7.606349,8.201752,1.413512,-7.048187,157.114228,5.504263
0.020000,9.685003,7.588213,8.228451,1.334976,-3.926797,156.069505,5.568717
0.020000,9.705357,7.571647,8.254694,1.312165,-1.140538,139.312952,5.630907
0.020000,9.727026,7.556103,8.281362,1.333384,1.060945,110.074147,5.690069
0.020000,9.750428,7.541275,8.309066,1.385211,2.591347,76.520108,5.745669
0.020000,9.775802,7.527045,8.338158,1.454598,3.469350,43.900137,5.797402
0.020000,9.803209,7.513419,8.368765,1.530327,3.786444,15.854725,5.845158
0.020000,9.832552,7.500469,8.400839,1.603699,3.668602,-5.892097,5.888978
0.020000,9.863620,7.488284,8.434211,1.668600,3.245044,-21.177912,5.929009
0.020000,9.896123,7.476947,8.468634,1.721183,2.629168,-30.793793,5.965466
0.020000,9.929731,7.466521,8.503822,1.759394,1.910533,-35.931775,5.998598
0.020000,9.964096,7.457036,8.539472,1.782480,1.154304,-37.811418,6.028668
0.020000,9.998875,7.448501,8.575283,1.790571,0.404555,-37.487441,6.055937
0.020000,10.033743,7.440897,8.610970,1.784348,-0.311114,-35.783481,6.080655
0.020000,10.068396,7.434191,8.646266,1.764806,-0.977107,-33.299658,6.103052
0.020000,10.102559,7.428331,8.680928,1.733085,-1.586056,-30.447417,6.123341
0.020000,10.135984,7.423261,8.714735,1.690366,-2.135969,-27.495659,6.141712
0.020000,10.168450,7.418915,8.747491,1.637803,-2.628163,-24.609711,6.158337
0.020000,10.199763,7.415226,8.779021,1.576486,-3.065837,-21.883674,6.173368
0.020000,10.229752,7.412127,8.809170,1.507423,-3.453134,-19.364878,6.186940
0.020000,10.258267,7.409552,8.837800,1.431532,-3.794537,-17.070158,6.199172
0.020000,10.285176,7.407436,8.864793,1.349642,-4.094507,-14.998469,6.210167
0.020000,10.310368,7.405719,8.890043,1.262497,-4.357267,-13.138020,6.220018
0.020000,10.333745,7.404344,8.913460,1.170871,-4.581310,-11.202132,6.228804
0.020000,10.355274,7.403257,8.935017,1.077831,-4.651991,-3.534039,6.236614
0.020000,10.374983,7.402407,8.954745,0.986377,-4.572670,3.966022,6.243541
0.020000,10.392914,7.401751,8.972687,0.897122,-4.462785,5.494236,6.249667
0.020000,10.409118,7.401251,8.988899,0.810582,-4.326969,6.790831,6.255067
0.020000,10.423657,7.400877,9.003443,0.727199,-4.169168,7.890056,6.259806
0.020000,10.436601,7.400601,9.016390,0.647344,-3.992742,8.821287,6.263944
0.020000,10.448026,7.400402,9.027816,0.571333,-3.800564,9.608912,6.267534
0.020000,10.458013,7.400261,9.037805,0.499431,-3.595099,10.273224,6.270627
0.020000,10.466650,7.400164,9.046442,0.431862,-3.378461,10.831922,6.273268
0.020000,10.474026,7.400099,9.053818,0.368812,-3.152475,11.299278,6.275500
0.020000,10.480235,7.400057,9.060027,0.310438,-2.918718,11.687878,6.277361
0.020000,10.485372,7.400031,9.065164,0.256867,-2.678556,12.008057,6.278889
0.020000,10.489536,7.400016,9.069328,0.208203,-2.433178,12.268911,6.280121
0.020000,10.492826,7.400008,9.072619,0.164531,-2.183601,12.478881,6.281089
0.020000,10.495345,7.400003,9.075137,0.125917,-1.930724,12.643851,6.281827
0.020000,10.497193,7.400001,9.076986,0.092411,-1.675300,12.771182,6.282367
0.020000,10.498474,7.400000,9.078267,0.064051,-1.417985,12.865742,6.282741
0.020000,10.499291,7.400000,9.079084,0.040864,-1.159324,12.933056,6.282979
0.020000,10.499749,7.400000,9.079541,0.022869,-0.899766,12.977893,6.283112
0.020000,10.499950,7.400000,9.079743,0.010076,-0.639661,13.005248,6.283171
0.020000,10.500000,7.400000,9.079793,0.002490,-0.379276,13.019282,6.283185
0.020000,10.500000,7.400000,9.079793,0.000000,-0.124522,12.737700,6.283185
