dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.830015,11.400000,0.000070,0.007011,0.350532,17.526617,0.000013
0.020000,5.830164,11.400000,0.000219,0.007427,0.020836,-16.484840,6.283138
0.020000,5.830637,11.400000,0.000691,0.023637,0.810480,39.482229,6.283000
0.020000,5.831477,11.400000,0.001532,0.042012,0.918764,5.414172,6.282755
0.020000,5.832789,11.399999,0.002844,0.065621,1.180441,13.083891,6.282372
0.020000,5.834678,11.399997,0.004733,0.094445,1.441183,13.037083,6.281820
0.020000,5.837247,11.399992,0.007302,0.128455,1.700538,12.967732,6.281067
0.020000,5.840600,11.399984,0.010654,0.167614,1.957942,12.870226,6.280081
0.020000,5.844837,11.399968,0.014892,0.211869,2.212732,12.739474,6.278827
0.020000,5.850060,11.399941,0.020115,0.261151,2.464123,12.569563,6.277273
0.020000,5.856367,11.399898,0.026422,0.315376,2.711208,12.354248,6.275381
0.020000,5.863856,11.399831,0.033911,0.374434,2.952936,12.086427,6.273115
0.020000,5.872619,11.399731,0.042675,0.438196,3.188093,11.757828,6.270433
0.020000,5.882748,11.399586,0.052805,0.506502,3.415279,11.359309,6.267293
0.020000,5.894329,11.399381,0.064388,0.579159,3.632879,10.880015,6.263649
0.020000,5.907445,11.399097,0.077507,0.655940,3.839015,10.306768,6.259450
0.020000,5.922172,11.398712,0.092238,0.736570,4.031522,9.625378,6.254642
0.020000,5.938578,11.398199,0.108653,0.820727,4.207865,8.817130,6.249164
0.020000,5.956726,11.397525,0.126813,0.908029,4.365093,7.861403,6.242948
0.020000,5.976668,11.396652,0.146774,0.998024,4.499745,6.732621,6.235921
0.020000,5.998443,11.395536,0.168577,1.090179,4.607765,5.400997,6.227996
0.020000,6.022078,11.394125,0.192255,1.183867,4.684372,3.830352,6.219079
0.020000,6.047584,11.392361,0.217822,1.278346,4.723950,1.978881,6.209063
0.020000,6.074904,11.390179,0.245229,1.370378,4.601612,-6.116909,6.197842
