dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.999986,8.400000,-0.000071,-0.007087,-0.354338,-17.71688,3.141605
0.020000,10.999833,8.400000,-0.000225,-0.007682,-0.029768,16.228484,3.141532
0.020000,10.999382,8.400000,-0.000675,-0.02252,-0.741912,-35.607182,3.141369
0.020000,10.998582,8.400000,-0.001475,-0.040028,-0.875362,-6.672512,3.141079
0.020000,10.997331,8.400001,-0.002726,-0.062521,-1.12468,-12.465922,3.140626
0.020000,10.995532,8.400004,-0.004526,-0.089983,-1.373114,-12.421702,3.139973
0.020000,10.993084,8.400009,-0.006973,-0.122388,-1.620237,-12.35615,3.139081
0.020000,10.989890,8.400019,-0.010167,-0.159699,-1.86552,-12.264126,3.137915
0.020000,10.985853,8.400036,-0.014205,-0.201866,-2.10835,-12.141517,3.136434
0.020000,10.980876,8.400067,-0.019181,-0.248826,-2.348008,-11.982911,3.134599
0.020000,10.974866,8.400115,-0.025191,-0.300499,-2.583677,-11.783437,3.132369
0.020000,10.967731,8.400191,-0.032327,-0.356788,-2.814421,-11.537196,3.129700
0.020000,10.959380,8.400303,-0.040678,-0.417572,-3.03919,-11.238455,3.126547
0.020000,10.949728,8.400466,-0.050332,-0.482708,-3.256803,-10.880656,3.122864
0.020000,10.938689,8.400696,-0.061373,-0.552026,-3.465935,-10.456606,3.118599
0.020000,10.926187,8.401014,-0.07388,-0.625328,-3.665108,-9.95862,3.113699
0.020000,10.912146,8.401445,-0.087927,-0.702382,-3.852682,-9.37873,3.108105
0.020000,10.896498,8.402019,-0.103586,-0.782919,-4.026831,-8.707441,3.101755
0.020000,10.879182,8.402771,-0.120918,-0.86663,-4.185552,-7.936025,3.094580
0.020000,10.860143,8.403744,-0.139981,-0.953163,-4.326637,-7.054286,3.086507
0.020000,10.839338,8.404985,-0.160824,-1.042117,-4.447703,-6.053274,3.077455
0.020000,10.816731,8.406551,-0.183485,-1.13304,-4.546187,-4.924212,3.067334
0.020000,10.792301,8.408507,-0.207993,-1.225428,-4.619404,-3.660831,3.056047
0.020000,10.766083,8.410920,-0.234322,-1.316445,-4.550854,3.427476,3.043508
0.020000,10.738170,8.413861,-0.262389,-1.403358,-4.345644,10.260522,3.029646
0.020000,10.708666,8.417404,-0.292105,-1.485793,-4.121742,11.195066,3.014383
0.020000,10.677685,8.421629,-0.323373,-1.563396,-3.880165,12.078894,2.997635
0.020000,10.645351,8.426616,-0.35609,-1.635854,-3.622864,12.865024,2.979313
0.020000,10.611796,8.432452,-0.390148,-1.702916,-3.353087,13.488858,2.959322
0.020000,10.577163,8.439223,-0.425437,-1.764432,-3.075804,13.864134,2.937566
0.020000,10.541599,8.447016,-0.461845,-1.820396,-2.798211,13.879655,2.913949
0.020000,10.505254,8.455923,-0.499265,-1.871002,-2.530286,13.396245,2.888378
0.020000,10.468277,8.466033,-0.537599,-1.916708,-2.285347,12.246985,2.860767
0.020000,10.430809,8.477441,-0.576765,-1.958319,-2.080514,10.241622,2.831045
