dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.000011,6.100000,-0.000071,-0.007101,-0.355047,-17.752354,3.141603
0.020000,10.999672,6.100000,-0.00041,-0.016964,-0.493138,-6.904571,3.141523
0.020000,10.998828,6.100000,-0.001254,-0.042199,-1.261775,-38.431849,3.141345
0.020000,10.997328,6.100001,-0.002755,-0.07503,-1.641526,-18.987516,3.141028
0.020000,10.994982,6.100003,-0.0051,-0.117257,-2.111356,-23.491512,3.140533
0.020000,10.991605,6.100007,-0.008478,-0.168899,-2.582099,-23.537161,3.139818
0.020000,10.987005,6.100018,-0.013078,-0.229983,-3.054213,-23.605672,3.138844
0.020000,10.980994,6.100038,-0.019089,-0.300548,-3.528236,-23.701178,3.137569
0.020000,10.973381,6.100075,-0.026701,-0.380644,-4.004806,-23.828483,3.135951
0.020000,10.963975,6.100137,-0.036108,-0.470337,-4.484661,-23.992742,3.133946
0.020000,10.952581,6.100238,-0.047502,-0.56971,-4.968636,-24.198754,3.131509
0.020000,10.939005,6.100395,-0.06108,-0.678864,-5.457682,-24.452303,3.128594
0.020000,10.923048,6.100630,-0.077038,-0.797921,-5.952851,-24.75846,3.125153
0.020000,10.904510,6.100972,-0.095579,-0.927027,-6.455324,-25.12362,3.121133
0.020000,10.883189,6.101458,-0.116906,-1.066355,-6.966395,-25.553553,3.116481
0.020000,10.858876,6.102133,-0.141228,-1.216105,-7.487488,-26.054652,3.111139
0.020000,10.831361,6.103055,-0.168758,-1.376508,-8.020155,-26.633347,3.105044
0.020000,10.800430,6.104293,-0.199715,-1.547829,-8.566072,-27.295861,3.098132
0.020000,10.765861,6.105932,-0.234322,-1.73037,-9.12703,-28.047907,3.090329
0.020000,10.727431,6.108072,-0.272811,-1.924468,-9.70491,-28.894012,3.081559
0.020000,10.684911,6.110837,-0.315421,-2.130501,-10.30165,-29.836991,3.071737
0.020000,10.638067,6.114372,-0.362399,-2.348885,-10.919181,-30.876566,3.060772
0.020000,10.586757,6.118842,-0.413903,-2.575181,-11.314834,-19.782658,3.048589
0.020000,10.530939,6.124427,-0.47,-2.804847,-11.483295,-8.423008,3.035128
0.020000,10.470570,6.131330,-0.530762,-3.038137,-11.664491,-9.059799,3.020327
0.020000,10.405611,6.139779,-0.596268,-3.27527,-11.856635,-9.607233,3.004118
0.020000,10.336034,6.150031,-0.666596,-3.516411,-12.057056,-10.021036,2.986432
0.020000,10.261820,6.162370,-0.741829,-3.761649,-12.261933,-10.243833,2.967198
0.020000,10.182967,6.177109,-0.822048,-4.01097,-12.466005,-10.203592,2.946345
0.020000,10.099494,6.194594,-0.907333,-4.264215,-12.662255,-9.812532,2.923804
0.020000,10.011452,6.215200,-0.997754,-4.521047,-12.841608,-8.967629,2.899513
0.020000,9.918928,6.239328,-1.093372,-4.7809,-12.992673,-7.553266,2.873419
0.020000,9.822057,6.267405,-1.19423,-5.042933,-13.101613,-5.446994,2.845484
0.020000,9.721027,6.299876,-1.30035,-5.305978,-13.152248,-2.53177,2.815691
0.020000,9.616095,6.337194,-1.41172,-5.568507,-13.126484,1.288228,2.784049
0.020000,9.507592,6.379809,-1.528292,-5.828611,-13.005208,6.063774,2.750599
0.020000,9.395927,6.428152,-1.649972,-6.084007,-12.76976,11.772439,2.715424
0.020000,9.281594,6.482614,-1.776614,-6.332085,-12.403948,18.290601,2.678650
0.020000,9.165167,6.543530,-1.908014,-6.570016,-11.896544,25.370179,2.640455
0.020000,9.047289,6.611155,-2.043912,-6.794895,-11.24391,32.631697,2.601064
0.020000,8.928660,6.685648,-2.183991,-7.00394,-10.452287,39.581161,2.560755
0.020000,8.810008,6.767056,-2.327885,-7.194723,-9.539129,45.657908,2.519844
0.020000,8.692065,6.855311,-2.475193,-7.365382,-8.532939,50.309486,2.478682
0.020000,8.575532,6.950227,-2.625489,-7.514807,-7.471284,53.082752,2.437637
0.020000,8.461053,7.051515,-2.778344,-7.64275,-6.397134,53.707478,2.397085
0.020000,8.349257,7.158728,-2.933241,-7.744841,-5.104573,64.62807,2.357412
0.020000,8.240717,7.271277,-3.0896,-7.81794,-3.654906,72.483358,2.319000
0.020000,8.135863,7.388528,-3.246897,-7.864848,-2.345403,65.475159,2.282181
0.020000,8.034978,7.509836,-3.404673,-7.888814,-1.198342,57.353042,2.247231
0.020000,7.938211,7.634565,-3.562538,-7.893234,-0.220982,48.867972,2.214366
0.020000,7.845591,7.762112,-3.720165,-7.881384,0.592508,40.67451,2.183746
0.020000,7.757050,7.891914,-3.87729,-7.856228,1.257797,33.264439,2.155478
0.020000,7.672443,8.023460,-4.033696,-7.820294,1.796717,26.946023,2.129626
0.020000,7.591565,8.156287,-4.189208,-7.775616,2.233903,21.859288,2.106219
0.020000,7.514174,8.289976,-4.343683,-7.723733,2.594133,18.011502,2.085259
0.020000,7.439998,8.424153,-4.496997,-7.665722,2.900531,15.319904,2.066728
0.020000,7.368753,8.558473,-4.649042,-7.602252,3.173534,13.650142,2.050599
0.020000,7.300148,8.692621,-4.799715,-7.533642,3.430486,12.84762,2.036836
0.020000,7.233893,8.826301,-4.948914,-7.459929,3.685648,12.758104,2.025405
0.020000,7.169702,8.959232,-5.096532,-7.38092,3.950464,13.240786,2.016275
0.020000,7.107300,9.091142,-5.242457,-7.296241,4.233944,14.173973,2.009421
0.020000,7.046423,9.221759,-5.386565,-7.205379,4.543073,15.456454,2.004825
0.020000,6.986817,9.350814,-5.528719,-7.107716,4.883187,17.005731,2.002485
0.020000,6.928248,9.478030,-5.66877,-7.00255,5.258275,18.754369,2.002405
0.020000,6.870496,9.603124,-5.806552,-6.889127,5.671181,20.645293,2.004607
0.020000,6.813359,9.725804,-5.941885,-6.766652,6.123705,22.626235,2.009124
0.020000,6.756672,9.845729,-6.074533,-6.632374,6.713897,29.509591,2.016002
0.020000,6.700295,9.962550,-6.204246,-6.485664,7.3355,31.080144,2.025296
0.020000,6.644093,10.075943,-6.330803,-6.327813,7.892568,27.853426,2.037078
0.020000,6.587962,10.185572,-6.453966,-6.158174,8.481973,29.470233,2.051429
0.020000,6.531830,10.291096,-6.573491,-5.976243,9.096516,30.727152,2.068438
0.020000,6.475659,10.392172,-6.689126,-5.781735,9.72543,31.445714,2.088202
0.020000,6.419450,10.488459,-6.800619,-5.574667,10.353386,31.397788,2.110815
0.020000,6.363241,10.579635,-6.907728,-5.355478,10.959453,30.303332,2.136364
0.020000,6.307111,10.665404,-7.010232,-5.125154,11.516205,27.837628,2.164919
0.020000,6.251175,10.745515,-7.107939,-4.885368,11.989299,23.654698,2.196522
0.020000,6.195575,10.819781,-7.200711,-4.638608,12.337975,17.433773,2.231171
0.020000,6.140473,10.888093,-7.288476,-4.388267,12.517073,8.954899,2.268803
0.020000,6.086030,10.950441,-7.371249,-4.138645,12.481106,-1.798347,2.309284
0.020000,6.032387,11.006924,-7.449146,-3.894832,12.190649,-14.522831,2.352388
0.020000,5.979644,11.057752,-7.522394,-3.662419,11.620648,-28.500052,2.397794
0.020000,5.927838,11.103238,-7.591335,-3.447034,10.769244,-42.570208,2.445083
0.020000,5.876932,11.143775,-7.65641,-3.25374,9.664711,-55.226641,2.493747
0.020000,5.826814,11.179810,-7.718137,-3.086387,8.367655,-64.852795,2.543211
0.020000,5.777310,11.211801,-7.777079,-2.947059,6.966362,-70.064661,2.592865
0.020000,5.728210,11.240188,-7.833794,-2.835755,5.565223,-70.056933,2.642098
0.020000,5.679302,11.265363,-7.888801,-2.750379,4.268771,-64.822616,2.690335
0.020000,5.630404,11.287660,-7.942543,-2.687066,3.165694,-55.153843,2.737070
0.020000,5.581377,11.307355,-7.995378,-2.641785,2.264034,-45.083038,2.781901
0.020000,5.532118,11.324680,-8.047595,-2.610807,1.548917,-35.755807,2.824555
0.020000,5.482590,11.339823,-8.099386,-2.589585,1.061065,-24.392638,2.864861
0.020000,5.432820,11.352936,-8.150855,-2.573431,0.807736,-12.666436,2.902731
0.020000,5.382895,11.364151,-8.202024,-2.558437,0.749665,-2.903537,2.938146
0.020000,5.332948,11.373589,-8.252855,-2.541547,0.844523,4.742918,2.971138
0.020000,5.283142,11.381370,-8.303265,-2.520508,1.051921,10.369892,3.001779
0.020000,5.233658,11.387611,-8.35314,-2.493781,1.336384,14.223146,3.030169
0.020000,5.184687,11.392433,-8.402348,-2.460408,1.668641,16.612825,3.056422
0.020000,5.136418,11.395960,-8.450746,-2.419893,2.02575,17.85547,3.080663
0.020000,5.089035,11.398314,-8.498188,-2.372082,2.390535,18.239265,3.103019
0.020000,5.042712,11.399619,-8.544529,-2.317068,2.7507,18.008241,3.123615
0.020000,4.996493,11.400000,-8.590749,-2.310998,0.303507,-122.359659,3.141593
0.020000,4.932715,11.400000,-8.654528,-3.188931,-43.896631,-2210.006906,3.141593
0.020000,4.872060,11.400000,-8.715182,-3.03271,7.811036,2585.383334,3.141593
0.020000,4.814531,11.400000,-8.772712,-2.876489,7.811036,0,3.141593
0.020000,4.760125,11.400000,-8.827117,-2.720268,7.811036,0,3.141593
0.020000,4.708844,11.400000,-8.878398,-2.564048,7.811036,0,3.141593
0.020000,4.660688,11.400000,-8.926555,-2.407827,7.811036,0,3.141593
0.020000,4.615656,11.400000,-8.971587,-2.251606,7.811036,0,3.141593
0.020000,4.573748,11.400000,-9.013495,-2.095386,7.811036,0,3.141593
0.020000,4.534965,11.400000,-9.052278,-1.939165,7.811036,0,3.141593
0.020000,4.499306,11.400000,-9.087937,-1.782944,7.811036,0,3.141593
0.020000,4.466730,11.400000,-9.120513,-1.628808,7.706826,-5.210474,3.141593
0.020000,4.437124,11.400000,-9.150119,-1.480306,7.425093,-14.086651,3.141593
0.020000,4.410345,11.400000,-9.176897,-1.338905,7.070046,-17.752354,3.141593
0.020000,4.386253,11.400000,-9.200989,-1.204605,6.714999,-17.752354,3.141593
0.020000,4.364705,11.400000,-9.222537,-1.077406,6.359952,-17.752354,3.141593
0.020000,4.345559,11.400000,-9.241683,-0.957308,6.004905,-17.752354,3.141593
0.020000,4.328673,11.400000,-9.25857,-0.844311,5.649858,-17.752354,3.141593
0.020000,4.313905,11.400000,-9.273338,-0.738414,5.294811,-17.752354,3.141593
0.020000,4.301112,11.400000,-9.28613,-0.639619,4.939764,-17.752354,3.141593
0.020000,4.290154,11.400000,-9.297089,-0.547925,4.584717,-17.752354,3.141593
0.020000,4.280887,11.400000,-9.306355,-0.463331,4.229669,-17.752354,3.141593
0.020000,4.273170,11.400000,-9.314072,-0.385839,3.874622,-17.752354,3.141593
0.020000,4.266861,11.400000,-9.320381,-0.315447,3.519575,-17.752354,3.141593
0.020000,4.261818,11.400000,-9.325424,-0.252157,3.164528,-17.752354,3.141593
0.020000,4.257899,11.400000,-9.329344,-0.195967,2.809481,-17.752354,3.141593
0.020000,4.254961,11.400000,-9.332281,-0.146879,2.454434,-17.752354,3.141593
0.020000,4.252863,11.400000,-9.334379,-0.104891,2.099387,-17.752354,3.141593
0.020000,4.251463,11.400000,-9.335779,-0.070004,1.74434,-17.752354,3.141593
0.020000,4.250619,11.400000,-9.336624,-0.042218,1.389293,-17.752354,3.141593
0.020000,4.250188,11.400000,-9.337054,-0.021533,1.034246,-17.752354,3.141593
0.020000,4.250029,11.400000,-9.337213,-0.007949,0.679199,-17.752354,3.141593
0.020000,4.250000,11.400000,-9.337243,-0.001466,0.324152,-17.752354,3.141593
0.020000,4.250000,11.400000,-9.337243,0,0.073314,-12.54188,3.141593
