dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.999935,18.350000,-0.00007,-0.007025,-0.351239,-17.561948,3.141593
0.020000,10.999654,18.350000,-0.000351,-0.01405,-0.351239,0,3.141593
0.020000,10.999022,18.350000,-0.000983,-0.031612,-0.878097,-26.342922,3.141593
0.020000,10.997898,18.350000,-0.002107,-0.056198,-1.229336,-17.561948,3.141593
0.020000,10.996141,18.350000,-0.003864,-0.08781,-1.580575,-17.561948,3.141593
0.020000,10.993612,18.350000,-0.006393,-0.126446,-1.931814,-17.561948,3.141593
0.020000,10.990170,18.350000,-0.009835,-0.172107,-2.283053,-17.561948,3.141593
0.020000,10.985674,18.350000,-0.014331,-0.224793,-2.634292,-17.561948,3.141593
0.020000,10.979984,18.350000,-0.020021,-0.284504,-2.985531,-17.561948,3.141593
0.020000,10.972960,18.350000,-0.027045,-0.351239,-3.33677,-17.561948,3.141593
0.020000,10.964460,18.350000,-0.035545,-0.424999,-3.688009,-17.561948,3.141593
0.020000,10.954344,18.350000,-0.045661,-0.505784,-4.039248,-17.561948,3.141593
0.020000,10.942472,18.350000,-0.057533,-0.593594,-4.390487,-17.561948,3.141593
0.020000,10.928703,18.350000,-0.071302,-0.688428,-4.741726,-17.561948,3.141593
0.020000,10.912898,18.350000,-0.087107,-0.790288,-5.092965,-17.561948,3.141593
0.020000,10.894914,18.350000,-0.105091,-0.899172,-5.444204,-17.561948,3.141593
0.020000,10.874613,18.350000,-0.125392,-1.015081,-5.795443,-17.561948,3.141593
0.020000,10.851852,18.350000,-0.148153,-1.138014,-6.146682,-17.561948,3.141593
0.020000,10.826493,18.350000,-0.173512,-1.267973,-6.497921,-17.561948,3.141593
0.020000,10.798394,18.350000,-0.201611,-1.404956,-6.84916,-17.561948,3.141593
0.020000,10.767415,18.350000,-0.23259,-1.548964,-7.200399,-17.561948,3.141593
0.020000,10.733415,18.350000,-0.26659,-1.699997,-7.551638,-17.561948,3.141593
0.020000,10.696254,18.350000,-0.303751,-1.858054,-7.902877,-17.561948,3.141593
0.020000,10.655791,18.350000,-0.344214,-2.023136,-8.254116,-17.561948,3.141593
0.020000,10.611886,18.350000,-0.388119,-2.195244,-8.605355,-17.561948,3.141593
0.020000,10.564398,18.350000,-0.435607,-2.374375,-8.956594,-17.561948,3.141593
0.020000,10.513258,18.350000,-0.486747,-2.55702,-9.132213,-8.780974,3.141593
0.020000,10.470609,18.349847,-0.529396,-2.132451,21.228437,1518.032511,3.152048
0.020000,10.429612,18.349110,-0.5704,-2.050203,4.11241,-855.801343,3.167215
0.020000,10.386692,18.347655,-0.613345,-2.147231,-4.851432,-448.192106,3.183871
0.020000,10.341997,18.345359,-0.658098,-2.237684,-4.522647,16.439256,3.202129
0.020000,10.295692,18.342092,-0.704518,-2.321003,-4.165926,17.836009,3.222115
0.020000,10.247959,18.337720,-0.752452,-2.396673,-3.783523,19.120191,3.243962
0.020000,10.198994,18.332105,-0.801737,-2.464273,-3.379989,20.176684,3.267809
0.020000,10.149011,18.325109,-0.852208,-2.523535,-2.963103,20.844285,3.293801
0.020000,10.098231,18.316591,-0.903697,-2.574435,-2.544991,20.90562,3.322085
0.020000,10.046884,18.306413,-0.956043,-2.617303,-2.143415,20.078773,3.352799
0.020000,9.995194,18.294438,-1.009102,-2.652965,-1.783085,18.016513,3.386068
0.020000,9.943371,18.280527,-1.06276,-2.682899,-1.496723,14.318092,3.421994
0.020000,9.891595,18.264538,-1.116948,-2.709408,-1.325455,8.563426,3.460634
