dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.230000,24.150000,0.000069,0.006912,0.345576,17.278787,6.283185
0.020000,3.230218,24.150000,0.000287,0.010891,0.198997,-7.328929,0.000049
0.020000,3.230713,24.150000,0.000781,0.024721,0.691474,24.623836,0.000160
0.020000,3.231592,24.150000,0.001660,0.043950,0.961450,13.498788,0.000357
0.020000,3.232965,24.150001,0.003034,0.068676,1.236297,13.742367,0.000665
0.020000,3.234943,24.150003,0.005012,0.098902,1.511310,13.750629,0.001109
0.020000,3.237636,24.150007,0.007705,0.134633,1.786569,13.762993,0.001712
0.020000,3.241153,24.150014,0.011222,0.175877,2.062176,13.780347,0.002500
0.020000,3.245606,24.150027,0.015675,0.222642,2.338249,13.803649,0.003496
0.020000,3.251105,24.150050,0.021174,0.274941,2.614928,13.833953,0.004725
0.020000,3.257761,24.150086,0.027830,0.332788,2.892377,13.872413,0.006209
0.020000,3.265685,24.150142,0.035754,0.396204,3.170783,13.920304,0.007973
0.020000,3.274988,24.150226,0.045058,0.465211,3.450365,13.979101,0.010039
0.020000,3.285784,24.150348,0.055855,0.539838,3.731373,14.050421,0.012430
0.020000,3.298186,24.150519,0.068257,0.620120,4.014096,14.136151,0.015168
0.020000,3.312306,24.150755,0.082379,0.706098,4.298864,14.238382,0.018274
0.020000,3.328259,24.151074,0.098335,0.797819,4.586054,14.359522,0.021768
0.020000,3.346161,24.151499,0.116242,0.895341,4.876099,14.502238,0.025669
0.020000,3.366127,24.152055,0.136217,0.998731,5.169489,14.669519,0.029996
0.020000,3.388277,24.152772,0.158378,1.108066,5.466783,14.864661,0.034765
0.020000,3.412729,24.153687,0.182847,1.223438,5.768608,15.091285,0.039992
0.020000,3.439603,24.154839,0.209746,1.344952,6.075673,15.353246,0.045690
0.020000,3.469023,24.156276,0.239200,1.472727,6.388767,15.654684,0.051870
0.020000,3.501112,24.158049,0.271338,1.606902,6.708764,15.999869,0.058542
0.020000,3.535997,24.160219,0.306291,1.747635,7.036628,16.393165,0.065711
0.020000,3.573807,24.162854,0.344193,1.895103,7.373405,16.838876,0.073380
0.020000,3.614675,24.166026,0.385183,2.049508,7.720227,17.341109,0.081549
0.020000,3.658733,24.169820,0.429405,2.211074,8.078299,17.903585,0.090214
0.020000,3.706120,24.174326,0.477006,2.380051,8.448887,18.529398,0.099366
0.020000,3.756977,24.179644,0.528140,2.556717,8.833304,19.220849,0.108991
0.020000,3.811449,24.185884,0.582968,2.741375,9.232887,19.979130,0.119071
0.020000,3.869626,24.193155,0.641597,2.931482,9.505352,13.623281,0.129571
0.020000,3.931546,24.201568,0.704086,3.124449,9.648325,7.148617,0.140441
0.020000,3.997249,24.211234,0.770497,3.320521,9.803589,7.763226,0.151628
0.020000,4.066778,24.222268,0.840896,3.519941,9.971006,8.370828,0.163072
0.020000,4.140177,24.234787,0.915355,3.722946,10.150261,8.962786,0.174712
0.020000,4.217493,24.248907,0.993950,3.929763,10.340874,9.530637,0.186482
0.020000,4.298777,24.264746,1.076762,4.140607,10.542205,10.066559,0.198310
0.020000,4.384079,24.282417,1.163875,4.355677,10.753483,10.563876,0.210125
0.020000,4.473455,24.302032,1.255379,4.575154,10.973833,11.017529,0.221848
0.020000,4.566962,24.323698,1.351363,4.799200,11.202324,11.424519,0.233402
0.020000,4.664659,24.347516,1.451922,5.027960,11.438009,11.784262,0.244703
0.020000,4.766613,24.373577,1.557153,5.261560,11.679986,12.098834,0.255668
0.020000,4.872889,24.401964,1.667155,5.500109,11.927448,12.373093,0.266211
0.020000,4.983561,24.432749,1.782029,5.743704,12.179741,12.614659,0.276243
0.020000,5.098646,24.465973,1.901814,5.989249,12.277246,4.875279,0.285671
0.020000,5.218106,24.501637,2.026484,6.233495,12.212311,-3.246762,0.294397
0.020000,5.341905,24.539724,2.156010,6.476279,12.139183,-3.656379,0.302327
0.020000,5.470015,24.580189,2.290358,6.717430,12.057557,-4.081312,0.309368
0.020000,5.602412,24.622965,2.429494,6.956780,11.967501,-4.502809,0.315432
0.020000,5.739080,24.667958,2.573377,7.194168,11.869414,-4.904341,0.320433
0.020000,5.880010,24.715047,2.721966,7.429447,11.763963,-5.272585,0.324286
0.020000,6.025202,24.764084,2.875216,7.662487,11.651997,-5.598285,0.326912
0.020000,6.174666,24.814893,3.033079,7.893176,11.534456,-5.877035,0.328230
0.020000,6.328418,24.867268,3.195508,8.121422,11.412256,-6.109992,0.328163
0.020000,6.486487,24.920973,3.362451,8.347145,11.286164,-6.304593,0.326635
0.020000,6.648907,24.975741,3.533856,8.570278,11.156659,-6.475287,0.323570
0.020000,6.815722,25.031273,3.709671,8.790754,11.023772,-6.644318,0.318894
0.020000,6.986979,25.087238,3.889841,9.008492,10.886921,-6.842552,0.312535
0.020000,7.162732,25.143267,4.074309,9.223386,10.744716,-7.110278,0.304421
0.020000,7.343033,25.198959,4.263015,9.435281,10.594758,-7.497871,0.294486
0.020000,7.527928,25.253876,4.455894,9.643950,10.433437,-8.066080,0.282663
0.020000,7.717459,25.307540,4.652875,9.849065,10.255725,-8.885603,0.268896
0.020000,7.911647,25.359439,4.853878,10.050165,10.055015,-10.035493,0.253134
0.020000,8.110490,25.409023,5.058811,10.246625,9.823019,-11.599791,0.235337
0.020000,8.313955,25.455709,5.267563,10.437621,9.549784,-13.661757,0.215479
0.020000,8.521963,25.498884,5.480005,10.622099,9.223882,-16.295113,0.193555
