dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.230000,21.850000,0.000069,0.006912,0.345576,17.278787,6.283185
0.020000,3.230331,21.850000,0.000400,0.016564,0.482613,6.851847,0.000049
0.020000,3.231081,21.850000,0.001150,0.037483,1.045947,28.166691,0.000160
0.020000,3.232413,21.850000,0.002483,0.066634,1.457580,20.581697,0.000357
0.020000,3.234495,21.850001,0.004565,0.104112,1.873885,20.815215,0.000665
0.020000,3.237494,21.850004,0.007563,0.149912,2.290023,20.806936,0.001109
0.020000,3.241574,21.850010,0.011644,0.204031,2.705915,20.794578,0.001712
0.020000,3.246904,21.850021,0.016973,0.266460,3.121460,20.777223,0.002500
0.020000,3.253647,21.850041,0.023717,0.337191,3.536538,20.753908,0.003496
0.020000,3.261971,21.850076,0.032041,0.416211,3.951010,20.723598,0.004725
0.020000,3.272041,21.850131,0.042111,0.503505,4.364712,20.685136,0.006209
0.020000,3.284022,21.850216,0.054092,0.599054,4.777457,20.637214,0.007973
0.020000,3.298078,21.850342,0.068149,0.702835,5.189025,20.578415,0.010039
0.020000,3.314374,21.850525,0.084445,0.814818,5.599166,20.507057,0.012430
0.020000,3.333071,21.850783,0.103145,0.934970,6.007592,20.421310,0.015168
0.020000,3.354333,21.851139,0.124410,1.063249,6.413973,20.319027,0.018274
0.020000,3.378321,21.851619,0.148402,1.199608,6.817930,20.197854,0.021768
0.020000,3.405193,21.852257,0.175282,1.343989,7.219032,20.055092,0.025669
0.020000,3.435108,21.853090,0.205208,1.496324,7.616787,19.887753,0.029996
0.020000,3.468221,21.854162,0.238339,1.656537,8.010637,19.692534,0.034765
0.020000,3.504686,21.855526,0.274830,1.824536,8.399955,19.465860,0.039992
0.020000,3.544654,21.857239,0.314834,2.000217,8.784031,19.203807,0.045690
0.020000,3.588271,21.859369,0.358503,2.183458,9.162077,18.902298,0.051870
0.020000,3.635681,21.861989,0.405986,2.374123,9.533217,18.557029,0.058542
0.020000,3.687023,21.865183,0.457427,2.572053,9.896490,18.163655,0.065711
0.020000,3.742430,21.869043,0.512968,2.777069,10.250848,17.717863,0.073380
0.020000,3.802030,21.873670,0.572747,2.988973,10.595159,17.215561,0.081549
0.020000,3.865945,21.879173,0.636898,3.207537,10.928220,16.653047,0.090214
0.020000,3.934287,21.885671,0.705548,3.432512,11.248764,16.027188,0.099366
0.020000,4.007162,21.893292,0.778821,3.663622,11.555478,15.335743,0.108991
0.020000,4.084666,21.902169,0.856832,3.900562,11.847028,14.577498,0.119071
0.020000,4.166806,21.912436,0.939611,4.138965,11.920126,3.654870,0.129571
0.020000,4.253500,21.924213,1.027102,4.374508,11.777149,-7.148817,0.140441
0.020000,4.344658,21.937623,1.119240,4.606946,11.621886,-7.763159,0.151628
0.020000,4.440183,21.952782,1.215961,4.836035,11.454477,-8.370461,0.163072
0.020000,4.539973,21.969800,1.317192,5.061540,11.275235,-8.962098,0.174712
0.020000,4.643919,21.988783,1.422857,5.283233,11.084643,-9.529611,0.186482
0.020000,4.751906,22.009824,1.532875,5.500900,10.883339,-10.065195,0.198310
0.020000,4.863817,22.033006,1.647161,5.714341,10.672095,-10.562181,0.210125
0.020000,4.979531,22.058400,1.765629,5.923377,10.451785,-11.015528,0.221848
0.020000,5.098925,22.086062,1.888186,6.127844,10.223340,-11.422250,0.233402
0.020000,5.221877,22.116034,2.014738,6.327598,9.987704,-11.781777,0.244703
0.020000,5.348264,22.148339,2.145188,6.522514,9.745780,-12.096201,0.255668
0.020000,5.477967,22.182982,2.279438,6.712481,9.498372,-12.370395,0.266211
0.020000,5.610869,22.219949,2.417386,6.897404,9.246133,-12.611989,0.276243
0.020000,5.746789,22.259185,2.558855,7.073466,8.803106,-22.151349,0.285671
0.020000,5.885480,22.300590,2.703595,7.237005,8.176940,-31.308289,0.294397
0.020000,6.026712,22.344037,2.851359,7.388184,7.558955,-30.899262,0.302327
0.020000,6.170265,22.389379,3.001902,7.527173,6.949453,-30.475054,0.309368
0.020000,6.315934,22.436441,3.154985,7.654140,6.348365,-30.054410,0.315432
0.020000,6.463527,22.485029,3.310370,7.769246,5.755288,-29.653845,0.320433
0.020000,6.612864,22.534927,3.467823,7.872637,5.169555,-29.286674,0.324286
0.020000,6.763779,22.585896,3.627112,7.964443,4.590312,-28.962142,0.326912
0.020000,6.916113,22.637680,3.788007,8.044776,4.016619,-28.684653,0.328230
0.020000,7.069720,22.690005,3.950282,8.113727,3.447558,-28.453043,0.328163
0.020000,7.224460,22.742580,4.113709,8.171374,2.882361,-28.259871,0.326635
0.020000,7.380199,22.795096,4.278065,8.217785,2.320547,-28.090685,0.323570
0.020000,7.536810,22.847233,4.443125,8.253027,1.762082,-27.923233,0.318894
0.020000,7.694164,22.898656,4.608669,8.277178,1.207550,-27.726634,0.312535
0.020000,7.852137,22.949020,4.774476,8.290344,0.658338,-27.460574,0.304421
0.020000,8.010602,22.997971,4.940330,8.292681,0.116846,-27.074633,0.294486
0.020000,8.169431,23.045149,5.106018,8.284415,-0.413315,-26.508002,0.282663
0.020000,8.328495,23.090191,5.271335,8.265873,-0.927112,-25.689888,0.268896
0.020000,8.487657,23.132734,5.436086,8.237514,-1.417935,-24.541112,0.253134
0.020000,8.646782,23.172420,5.600085,8.199964,-1.877484,-22.977471,0.235337
0.020000,8.805731,23.208899,5.763166,8.154048,-2.295794,-20.915510,0.215479
0.020000,8.964365,23.241832,5.925182,8.100820,-2.661420,-18.281282,0.193555
0.020000,9.122547,23.270903,6.086014,8.041583,-2.961867,-15.022372,0.169579
0.020000,9.280149,23.295815,6.245572,7.977896,-3.184324,-11.122830,0.143594
0.020000,9.437049,23.316297,6.403803,7.911562,-3.316717,-6.619672,0.115675
0.020000,9.593141,23.332112,6.560695,7.844580,-3.349083,-1.618300,0.085931
0.020000,9.748338,23.343052,6.716276,7.779077,-3.275141,3.697134,0.054507
0.020000,9.902569,23.348944,6.870620,7.717200,-3.093879,9.063102,0.021587
0.020000,10.065918,23.349878,7.033972,8.167577,22.518874,1280.637637,6.279454
0.020000,10.245921,23.348230,7.213983,9.000541,41.648161,956.464352,6.268392
0.020000,10.424376,23.344511,7.392476,8.924695,-3.792276,-2272.021843,6.256063
0.020000,10.600946,23.338534,7.569147,8.833537,-4.557888,-38.280628,6.242379
0.020000,10.775338,23.330116,7.743742,8.729764,-5.188655,-31.538334,6.227243
0.020000,10.947240,23.319076,7.915999,8.612806,-5.847896,-32.962054,6.210546
0.020000,11.116316,23.305239,8.085640,8.482080,-6.536293,-34.419856,6.192167
0.020000,11.282208,23.288439,8.252380,8.337010,-7.253510,-35.860847,6.171977
0.020000,11.444532,23.268525,8.415922,8.177057,-7.997662,-37.207581,6.149839
0.020000,11.602883,23.245364,8.575957,8.001765,-8.764606,-38.347211,6.125606
0.020000,11.756832,23.218847,8.732173,7.810824,-9.547021,-39.120783,6.099125
0.020000,11.905937,23.188897,8.884257,7.604159,-10.333282,-39.313029,6.070244
0.020000,12.049745,23.155475,9.031897,7.382036,-11.106145,-38.643136,6.038813
0.020000,12.187806,23.118584,9.174801,7.145208,-11.841400,-36.762788,6.004699
0.020000,12.319686,23.078281,9.312703,6.895073,-12.506727,-33.266306,5.967788
0.020000,12.444991,23.034672,9.445380,6.633849,-13.061202,-27.723752,5.928009
0.020000,12.563388,22.987915,9.572674,6.364727,-13.456125,-19.746184,5.885345
0.020000,12.674629,22.938213,9.694514,6.091968,-13.637947,-9.091079,5.839852
0.020000,12.778580,22.885798,9.810931,5.820887,-13.554021,4.196314,5.791679
0.020000,12.875238,22.830914,9.922085,5.557659,-13.161416,19.630226,5.741084
0.020000,12.964739,22.773789,10.028263,5.308900,-12.437965,36.172578,5.688438
0.020000,13.047354,22.714616,10.129883,5.081035,-11.393236,52.236451,5.634224
0.020000,13.123463,22.653531,10.227474,4.879518,-10.075845,65.869515,5.579021
0.020000,13.193517,22.590612,10.321635,4.708052,-8.573306,75.126971,5.523471
0.020000,13.257998,22.525891,10.412995,4.568005,-7.002353,78.547629,5.468241
0.020000,13.317373,22.459372,10.502159,4.458184,-5.491067,75.564302,5.413976
0.020000,13.372062,22.391068,10.589659,4.375032,-4.157588,66.673947,5.361260
0.020000,13.422422,22.321030,10.675923,4.313196,-3.091799,53.289442,5.310584
0.020000,13.468746,22.249374,10.761249,4.266296,-2.344980,37.340974,5.262329
0.020000,13.511269,22.176290,10.845803,4.227716,-1.929024,20.797801,5.216758
0.020000,13.550185,22.102046,10.929628,4.191249,-1.823355,5.283446,5.174029
0.020000,13.585665,22.026978,11.012659,4.151533,-1.985804,-8.122457,5.134206
0.020000,13.617876,21.951455,11.094764,4.105237,-2.314766,-16.448073,5.097268
0.020000,13.646999,21.875838,11.175795,4.051570,-2.683372,-18.430316,5.063123
0.020000,13.673220,21.800470,11.255594,3.989939,-3.081527,-19.907773,5.031631
0.020000,13.696728,21.725693,11.333980,3.919283,-3.532827,-22.565004,5.002637
0.020000,13.717710,21.651832,11.410762,3.839140,-4.007120,-23.714635,4.975974
0.020000,13.736351,21.579196,11.485752,3.749487,-4.482662,-23.777100,4.951478
0.020000,13.752835,21.508070,11.558764,3.650595,-4.944607,-23.097236,4.928989
0.020000,13.767342,21.438712,11.629623,3.542926,-5.383460,-21.942670,4.908352
0.020000,13.780045,21.371358,11.698164,3.427052,-5.793698,-20.511890,4.889427
0.020000,13.791112,21.306220,11.764236,3.303599,-6.172627,-18.946451,4.872080
0.020000,13.800702,21.243484,11.827700,3.173209,-6.519500,-17.343629,4.856192
0.020000,13.808965,21.183319,11.888430,3.036513,-6.834843,-15.767171,4.841653
0.020000,13.816042,21.125871,11.946312,2.894113,-7.119980,-14.256839,4.828363
0.020000,13.822065,21.071271,12.001244,2.746579,-7.376681,-12.835071,4.816234
0.020000,13.827159,21.019609,12.053156,2.595626,-7.547652,-8.548560,4.805180
0.020000,13.831443,20.970905,12.102048,2.444574,-7.552615,-0.248143,4.795113
0.020000,13.835026,20.925134,12.147959,2.295574,-7.449999,5.130843,4.785951
