dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.230000,5.150000,0.000069,0.006912,0.345576,17.278787,0.000000
0.020000,3.230331,5.150000,0.000400,0.016564,0.482613,6.851847,6.283136
0.020000,3.231081,5.150000,0.001150,0.037483,1.045947,28.166691,6.283025
0.020000,3.232413,5.150000,0.002483,0.066634,1.457580,20.581697,6.282828
0.020000,3.234495,5.149999,0.004565,0.104112,1.873885,20.815215,6.282520
0.020000,3.237494,5.149996,0.007563,0.149912,2.290023,20.806936,6.282076
0.020000,3.241574,5.149990,0.011644,0.204031,2.705915,20.794578,6.281473
0.020000,3.246904,5.149979,0.016973,0.266460,3.121460,20.777223,6.280685
0.020000,3.253647,5.149959,0.023717,0.337191,3.536538,20.753908,6.279689
0.020000,3.261971,5.149924,0.032041,0.416211,3.951010,20.723598,6.278461
0.020000,3.272041,5.149869,0.042111,0.503505,4.364712,20.685136,6.276976
0.020000,3.284022,5.149784,0.054092,0.599054,4.777457,20.637214,6.275212
0.020000,3.298078,5.149658,0.068149,0.702835,5.189025,20.578415,6.273146
0.020000,3.314374,5.149475,0.084445,0.814818,5.599166,20.507057,6.270755
0.020000,3.333071,5.149217,0.103145,0.934970,6.007592,20.421310,6.268017
0.020000,3.354333,5.148861,0.124410,1.063249,6.413973,20.319027,6.264911
0.020000,3.378321,5.148381,0.148402,1.199608,6.817930,20.197854,6.261418
0.020000,3.405193,5.147743,0.175282,1.343989,7.219032,20.055092,6.257516
0.020000,3.435108,5.146910,0.205208,1.496324,7.616787,19.887753,6.253189
0.020000,3.468221,5.145838,0.238339,1.656537,8.010637,19.692534,6.248420
0.020000,3.504686,5.144474,0.274830,1.824536,8.399955,19.465860,6.243193
0.020000,3.544654,5.142761,0.314834,2.000217,8.784031,19.203807,6.237495
0.020000,3.588271,5.140631,0.358503,2.183458,9.162077,18.902298,6.231315
0.020000,3.635681,5.138011,0.405986,2.374123,9.533217,18.557029,6.224643
0.020000,3.687023,5.134817,0.457427,2.572053,9.896490,18.163655,6.217475
0.020000,3.742430,5.130957,0.512968,2.777069,10.250848,17.717863,6.209805
0.020000,3.802030,5.126330,0.572747,2.988973,10.595159,17.215561,6.201636
0.020000,3.865945,5.120827,0.636898,3.207537,10.928220,16.653047,6.192971
0.020000,3.934287,5.114329,0.705548,3.432512,11.248764,16.027188,6.183819
0.020000,4.007162,5.106708,0.778821,3.663622,11.555478,15.335743,6.174194
0.020000,4.084666,5.097831,0.856832,3.900562,11.847028,14.577498,6.164114
0.020000,4.166806,5.087564,0.939611,4.138965,11.920126,3.654870,6.153614
0.020000,4.253500,5.075787,1.027102,4.374508,11.777149,-7.148817,6.142744
0.020000,4.344658,5.062377,1.119240,4.606946,11.621886,-7.763159,6.131558
0.020000,4.440183,5.047218,1.215961,4.836035,11.454477,-8.370461,6.120113
0.020000,4.539973,5.030200,1.317192,5.061540,11.275235,-8.962098,6.108473
0.020000,4.643919,5.011217,1.422857,5.283233,11.084643,-9.529611,6.096704
0.020000,4.751906,4.990176,1.532875,5.500900,10.883339,-10.065195,6.084875
0.020000,4.863817,4.966994,1.647161,5.714341,10.672095,-10.562181,6.073061
0.020000,4.979531,4.941600,1.765629,5.923377,10.451785,-11.015528,6.061337
0.020000,5.098925,4.913938,1.888186,6.127844,10.223340,-11.422250,6.049783
0.020000,5.221877,4.883966,2.014738,6.327598,9.987704,-11.781777,6.038482
0.020000,5.348264,4.851661,2.145188,6.522514,9.745780,-12.096201,6.027517
