dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.230000,2.850000,0.000069,0.006912,0.345576,17.278787,0.000000
0.020000,3.230218,2.850000,0.000287,0.010891,0.198997,-7.328929,6.283136
0.020000,3.230713,2.850000,0.000781,0.024721,0.691474,24.623836,6.283025
0.020000,3.231592,2.850000,0.001660,0.043950,0.961450,13.498788,6.282828
0.020000,3.232965,2.849999,0.003034,0.068676,1.236297,13.742367,6.282520
0.020000,3.234943,2.849997,0.005012,0.098902,1.511310,13.750629,6.282076
0.020000,3.237636,2.849993,0.007705,0.134633,1.786569,13.762993,6.281473
0.020000,3.241153,2.849986,0.011222,0.175877,2.062176,13.780347,6.280685
0.020000,3.245606,2.849973,0.015675,0.222642,2.338249,13.803649,6.279689
0.020000,3.251105,2.849950,0.021174,0.274941,2.614928,13.833953,6.278461
0.020000,3.257761,2.849914,0.027830,0.332788,2.892377,13.872413,6.276976
0.020000,3.265685,2.849858,0.035754,0.396204,3.170783,13.920304,6.275212
0.020000,3.274988,2.849774,0.045058,0.465211,3.450365,13.979101,6.273146
0.020000,3.285784,2.849652,0.055855,0.539838,3.731373,14.050421,6.270755
0.020000,3.298186,2.849481,0.068257,0.620120,4.014096,14.136151,6.268017
0.020000,3.312306,2.849245,0.082379,0.706098,4.298864,14.238382,6.264911
0.020000,3.328259,2.848926,0.098335,0.797819,4.586054,14.359522,6.261418
0.020000,3.346161,2.848501,0.116242,0.895341,4.876099,14.502238,6.257516
0.020000,3.366127,2.847945,0.136217,0.998731,5.169489,14.669519,6.253189
0.020000,3.388277,2.847228,0.158378,1.108066,5.466783,14.864661,6.248420
0.020000,3.412729,2.846313,0.182847,1.223438,5.768608,15.091285,6.243193
0.020000,3.439603,2.845161,0.209746,1.344952,6.075673,15.353246,6.237495
0.020000,3.469023,2.843724,0.239200,1.472727,6.388767,15.654684,6.231315
0.020000,3.501112,2.841951,0.271338,1.606902,6.708764,15.999869,6.224643
0.020000,3.535997,2.839781,0.306291,1.747635,7.036628,16.393165,6.217475
0.020000,3.573807,2.837146,0.344193,1.895103,7.373405,16.838876,6.209805
0.020000,3.614675,2.833974,0.385183,2.049508,7.720227,17.341109,6.201636
0.020000,3.658733,2.830180,0.429405,2.211074,8.078299,17.903585,6.192971
0.020000,3.706120,2.825674,0.477006,2.380051,8.448887,18.529398,6.183819
0.020000,3.756977,2.820356,0.528140,2.556717,8.833304,19.220849,6.174194
0.020000,3.811449,2.814116,0.582968,2.741375,9.232887,19.979130,6.164114
0.020000,3.869626,2.806845,0.641597,2.931482,9.505352,13.623281,6.153614
0.020000,3.931546,2.798432,0.704086,3.124449,9.648325,7.148617,6.142744
0.020000,3.997249,2.788766,0.770497,3.320521,9.803589,7.763226,6.131558
0.020000,4.066778,2.777732,0.840896,3.519941,9.971006,8.370828,6.120113
0.020000,4.140177,2.765213,0.915355,3.722946,10.150261,8.962786,6.108473
0.020000,4.217493,2.751093,0.993950,3.929763,10.340874,9.530637,6.096704
0.020000,4.298777,2.735254,1.076762,4.140607,10.542205,10.066559,6.084875
0.020000,4.384079,2.717583,1.163875,4.355677,10.753483,10.563876,6.073061
0.020000,4.473455,2.697968,1.255379,4.575154,10.973833,11.017529,6.061337
0.020000,4.566962,2.676302,1.351363,4.799200,11.202324,11.424519,6.049783
0.020000,4.664659,2.652484,1.451922,5.027960,11.438009,11.784262,6.038482
0.020000,4.766613,2.626423,1.557153,5.261560,11.679986,12.098834,6.027517
0.020000,4.872889,2.598036,1.667155,5.500109,11.927448,12.373093,6.016975
0.020000,4.983561,2.567251,1.782029,5.743704,12.179741,12.614659,6.006943
